Source,Target,Weight,Type
A_Study_in_Scarlet.txt_1,A_Study_in_Scarlet.txt_14,2,undirected
A_Study_in_Scarlet.txt_1,A_Study_in_Scarlet.txt_35,3,undirected
A_Study_in_Scarlet.txt_1,A_Study_in_Scarlet.txt_38,1,undirected
A_Study_in_Scarlet.txt_2,A_Study_in_Scarlet.txt_7,5,undirected
A_Study_in_Scarlet.txt_2,A_Study_in_Scarlet.txt_14,1,undirected
A_Study_in_Scarlet.txt_2,Judge_dee.txt_9,2,undirected
A_Study_in_Scarlet.txt_3,A_Study_in_Scarlet.txt_14,1,undirected
A_Study_in_Scarlet.txt_3,A_Study_in_Scarlet.txt_39,1,undirected
A_Study_in_Scarlet.txt_3,Judge_dee.txt_2,1,undirected
A_Study_in_Scarlet.txt_3,Judge_dee.txt_40,3,undirected
A_Study_in_Scarlet.txt_3,Judge_dee.txt_58,3,undirected
A_Study_in_Scarlet.txt_4,A_Study_in_Scarlet.txt_13,6,undirected
A_Study_in_Scarlet.txt_4,A_Study_in_Scarlet.txt_14,1,undirected
A_Study_in_Scarlet.txt_4,Judge_dee.txt_58,2,undirected
A_Study_in_Scarlet.txt_5,A_Study_in_Scarlet.txt_10,1,undirected
A_Study_in_Scarlet.txt_5,A_Study_in_Scarlet.txt_12,3,undirected
A_Study_in_Scarlet.txt_5,Judge_dee.txt_42,2,undirected
A_Study_in_Scarlet.txt_6,A_Study_in_Scarlet.txt_17,1,undirected
A_Study_in_Scarlet.txt_6,A_Study_in_Scarlet.txt_19,2,undirected
A_Study_in_Scarlet.txt_6,Judge_dee.txt_29,6,undirected
A_Study_in_Scarlet.txt_7,A_Study_in_Scarlet.txt_2,5,undirected
A_Study_in_Scarlet.txt_7,A_Study_in_Scarlet.txt_10,3,undirected
A_Study_in_Scarlet.txt_7,Judge_dee.txt_8,1,undirected
A_Study_in_Scarlet.txt_7,Judge_dee.txt_15,1,undirected
A_Study_in_Scarlet.txt_8,A_Study_in_Scarlet.txt_9,1,undirected
A_Study_in_Scarlet.txt_8,A_Study_in_Scarlet.txt_11,3,undirected
A_Study_in_Scarlet.txt_8,A_Study_in_Scarlet.txt_15,3,undirected
A_Study_in_Scarlet.txt_8,A_Study_in_Scarlet.txt_21,3,undirected
A_Study_in_Scarlet.txt_8,A_Study_in_Scarlet.txt_25,2,undirected
A_Study_in_Scarlet.txt_8,A_Study_in_Scarlet.txt_26,5,undirected
A_Study_in_Scarlet.txt_8,A_Study_in_Scarlet.txt_27,2,undirected
A_Study_in_Scarlet.txt_8,A_Study_in_Scarlet.txt_33,3,undirected
A_Study_in_Scarlet.txt_8,Judge_dee.txt_2,3,undirected
A_Study_in_Scarlet.txt_9,A_Study_in_Scarlet.txt_8,1,undirected
A_Study_in_Scarlet.txt_9,A_Study_in_Scarlet.txt_10,3,undirected
A_Study_in_Scarlet.txt_9,A_Study_in_Scarlet.txt_17,2,undirected
A_Study_in_Scarlet.txt_10,A_Study_in_Scarlet.txt_5,1,undirected
A_Study_in_Scarlet.txt_10,A_Study_in_Scarlet.txt_7,3,undirected
A_Study_in_Scarlet.txt_10,A_Study_in_Scarlet.txt_9,3,undirected
A_Study_in_Scarlet.txt_10,A_Study_in_Scarlet.txt_11,2,undirected
A_Study_in_Scarlet.txt_10,A_Study_in_Scarlet.txt_12,5,undirected
A_Study_in_Scarlet.txt_10,A_Study_in_Scarlet.txt_19,6,undirected
A_Study_in_Scarlet.txt_10,A_Study_in_Scarlet.txt_22,2,undirected
A_Study_in_Scarlet.txt_10,A_Study_in_Scarlet.txt_30,1,undirected
A_Study_in_Scarlet.txt_10,A_Study_in_Scarlet.txt_35,4,undirected
A_Study_in_Scarlet.txt_10,Judge_dee.txt_24,2,undirected
A_Study_in_Scarlet.txt_11,A_Study_in_Scarlet.txt_8,3,undirected
A_Study_in_Scarlet.txt_11,A_Study_in_Scarlet.txt_10,2,undirected
A_Study_in_Scarlet.txt_11,Judge_dee.txt_42,1,undirected
A_Study_in_Scarlet.txt_12,A_Study_in_Scarlet.txt_5,3,undirected
A_Study_in_Scarlet.txt_12,A_Study_in_Scarlet.txt_10,5,undirected
A_Study_in_Scarlet.txt_12,A_Study_in_Scarlet.txt_16,1,undirected
A_Study_in_Scarlet.txt_12,A_Study_in_Scarlet.txt_19,3,undirected
A_Study_in_Scarlet.txt_12,Judge_dee.txt_42,1,undirected
A_Study_in_Scarlet.txt_13,A_Study_in_Scarlet.txt_4,6,undirected
A_Study_in_Scarlet.txt_13,Judge_dee.txt_21,1,undirected
A_Study_in_Scarlet.txt_13,Judge_dee.txt_55,2,undirected
A_Study_in_Scarlet.txt_14,A_Study_in_Scarlet.txt_1,2,undirected
A_Study_in_Scarlet.txt_14,A_Study_in_Scarlet.txt_2,1,undirected
A_Study_in_Scarlet.txt_14,A_Study_in_Scarlet.txt_3,1,undirected
A_Study_in_Scarlet.txt_14,A_Study_in_Scarlet.txt_4,1,undirected
A_Study_in_Scarlet.txt_14,A_Study_in_Scarlet.txt_39,5,undirected
A_Study_in_Scarlet.txt_14,Judge_dee.txt_58,3,undirected
A_Study_in_Scarlet.txt_15,A_Study_in_Scarlet.txt_8,3,undirected
A_Study_in_Scarlet.txt_15,A_Study_in_Scarlet.txt_18,2,undirected
A_Study_in_Scarlet.txt_15,Judge_dee.txt_62,1,undirected
A_Study_in_Scarlet.txt_16,A_Study_in_Scarlet.txt_12,1,undirected
A_Study_in_Scarlet.txt_16,Judge_dee.txt_30,6,undirected
A_Study_in_Scarlet.txt_16,Judge_dee.txt_42,2,undirected
A_Study_in_Scarlet.txt_17,A_Study_in_Scarlet.txt_6,1,undirected
A_Study_in_Scarlet.txt_17,A_Study_in_Scarlet.txt_9,2,undirected
A_Study_in_Scarlet.txt_17,Judge_dee.txt_9,1,undirected
A_Study_in_Scarlet.txt_17,Judge_dee.txt_29,5,undirected
A_Study_in_Scarlet.txt_17,Judge_dee.txt_58,2,undirected
A_Study_in_Scarlet.txt_18,A_Study_in_Scarlet.txt_15,2,undirected
A_Study_in_Scarlet.txt_18,A_Study_in_Scarlet.txt_19,5,undirected
A_Study_in_Scarlet.txt_18,Judge_dee.txt_2,2,undirected
A_Study_in_Scarlet.txt_18,Judge_dee.txt_49,1,undirected
A_Study_in_Scarlet.txt_19,A_Study_in_Scarlet.txt_6,2,undirected
A_Study_in_Scarlet.txt_19,A_Study_in_Scarlet.txt_10,6,undirected
A_Study_in_Scarlet.txt_19,A_Study_in_Scarlet.txt_12,3,undirected
A_Study_in_Scarlet.txt_19,A_Study_in_Scarlet.txt_18,5,undirected
A_Study_in_Scarlet.txt_19,A_Study_in_Scarlet.txt_35,2,undirected
A_Study_in_Scarlet.txt_19,Judge_dee.txt_62,2,undirected
A_Study_in_Scarlet.txt_20,Judge_dee.txt_7,3,undirected
A_Study_in_Scarlet.txt_20,Judge_dee.txt_9,2,undirected
A_Study_in_Scarlet.txt_20,Judge_dee.txt_13,1,undirected
A_Study_in_Scarlet.txt_21,A_Study_in_Scarlet.txt_8,3,undirected
A_Study_in_Scarlet.txt_21,A_Study_in_Scarlet.txt_24,2,undirected
A_Study_in_Scarlet.txt_21,Judge_dee.txt_61,1,undirected
A_Study_in_Scarlet.txt_22,A_Study_in_Scarlet.txt_10,2,undirected
A_Study_in_Scarlet.txt_22,Judge_dee.txt_2,1,undirected
A_Study_in_Scarlet.txt_22,Judge_dee.txt_60,4,undirected
A_Study_in_Scarlet.txt_23,A_Study_in_Scarlet.txt_30,6,undirected
A_Study_in_Scarlet.txt_23,A_Study_in_Scarlet.txt_31,2,undirected
A_Study_in_Scarlet.txt_23,A_Study_in_Scarlet.txt_32,3,undirected
A_Study_in_Scarlet.txt_24,A_Study_in_Scarlet.txt_21,2,undirected
A_Study_in_Scarlet.txt_24,A_Study_in_Scarlet.txt_29,4,undirected
A_Study_in_Scarlet.txt_24,A_Study_in_Scarlet.txt_31,1,undirected
A_Study_in_Scarlet.txt_24,Judge_dee.txt_6,2,undirected
A_Study_in_Scarlet.txt_25,A_Study_in_Scarlet.txt_8,2,undirected
A_Study_in_Scarlet.txt_25,Judge_dee.txt_2,3,undirected
A_Study_in_Scarlet.txt_25,Judge_dee.txt_60,1,undirected
A_Study_in_Scarlet.txt_26,A_Study_in_Scarlet.txt_8,5,undirected
A_Study_in_Scarlet.txt_26,A_Study_in_Scarlet.txt_29,2,undirected
A_Study_in_Scarlet.txt_26,Judge_dee.txt_61,1,undirected
A_Study_in_Scarlet.txt_27,A_Study_in_Scarlet.txt_8,2,undirected
A_Study_in_Scarlet.txt_27,A_Study_in_Scarlet.txt_30,1,undirected
A_Study_in_Scarlet.txt_27,Judge_dee.txt_2,6,undirected
A_Study_in_Scarlet.txt_28,Judge_dee.txt_24,1,undirected
