Source,Target,Weight,Type
Dee.txt_1,Dee.txt_2,3,undirected
Dee.txt_1,Dee.txt_45,1,undirected
Dee.txt_1,Dee.txt_62,2,undirected
Dee.txt_2,Dee.txt_1,3,undirected
Dee.txt_2,Dee.txt_6,1,undirected
Dee.txt_2,Dee.txt_40,3,undirected
Dee.txt_2,Dee.txt_56,4,undirected
Dee.txt_2,Dee.txt_61,1,undirected
Dee.txt_2,Dee.txt_65,2,undirected
Dee.txt_2,Sherlock.txt_3,1,undirected
Dee.txt_2,Sherlock.txt_8,3,undirected
Dee.txt_2,Sherlock.txt_18,2,undirected
Dee.txt_2,Sherlock.txt_22,1,undirected
Dee.txt_2,Sherlock.txt_25,3,undirected
Dee.txt_2,Sherlock.txt_27,6,undirected
Dee.txt_2,Sherlock.txt_34,1,undirected
Dee.txt_3,Dee.txt_6,2,undirected
Dee.txt_3,Dee.txt_39,3,undirected
Dee.txt_3,Dee.txt_45,2,undirected
Dee.txt_3,Dee.txt_50,6,undirected
Dee.txt_3,Dee.txt_51,1,undirected
Dee.txt_3,Dee.txt_60,2,undirected
Dee.txt_4,Dee.txt_41,3,undirected
Dee.txt_4,Dee.txt_45,2,undirected
Dee.txt_4,Dee.txt_56,1,undirected
Dee.txt_4,Sherlock.txt_40,2,undirected
Dee.txt_5,Dee.txt_9,3,undirected
Dee.txt_5,Dee.txt_13,2,undirected
Dee.txt_5,Dee.txt_27,2,undirected
Dee.txt_5,Dee.txt_29,1,undirected
Dee.txt_5,Dee.txt_30,1,undirected
Dee.txt_6,Dee.txt_2,1,undirected
Dee.txt_6,Dee.txt_3,2,undirected
Dee.txt_6,Dee.txt_7,6,undirected
Dee.txt_6,Sherlock.txt_24,2,undirected
Dee.txt_7,Dee.txt_6,6,undirected
Dee.txt_7,Dee.txt_13,2,undirected
Dee.txt_7,Dee.txt_32,1,undirected
Dee.txt_7,Sherlock.txt_20,3,undirected
Dee.txt_8,Dee.txt_37,2,undirected
Dee.txt_8,Dee.txt_55,3,undirected
Dee.txt_8,Sherlock.txt_7,1,undirected
Dee.txt_9,Dee.txt_5,3,undirected
Dee.txt_9,Dee.txt_13,2,undirected
Dee.txt_9,Dee.txt_15,4,undirected
Dee.txt_9,Dee.txt_35,1,undirected
Dee.txt_9,Dee.txt_58,1,undirected
Dee.txt_9,Sherlock.txt_2,2,undirected
Dee.txt_9,Sherlock.txt_17,1,undirected
Dee.txt_9,Sherlock.txt_20,2,undirected
Dee.txt_10,Dee.txt_31,2,undirected
Dee.txt_10,Dee.txt_42,2,undirected
Dee.txt_10,Dee.txt_47,1,undirected
Dee.txt_10,Dee.txt_57,2,undirected
Dee.txt_10,Dee.txt_58,4,undirected
Dee.txt_11,Dee.txt_22,4,undirected
Dee.txt_11,Dee.txt_32,3,undirected
Dee.txt_11,Dee.txt_38,2,undirected
Dee.txt_12,Dee.txt_13,1,undirected
Dee.txt_12,Dee.txt_14,2,undirected
Dee.txt_12,Dee.txt_35,3,undirected
Dee.txt_13,Dee.txt_5,2,undirected
Dee.txt_13,Dee.txt_7,2,undirected
Dee.txt_13,Dee.txt_9,2,undirected
Dee.txt_13,Dee.txt_12,1,undirected
Dee.txt_13,Dee.txt_15,6,undirected
Dee.txt_13,Dee.txt_18,1,undirected
Dee.txt_13,Dee.txt_34,1,undirected
Dee.txt_13,Dee.txt_39,1,undirected
Dee.txt_13,Dee.txt_42,3,undirected
Dee.txt_13,Dee.txt_47,4,undirected
Dee.txt_13,Dee.txt_48,3,undirected
Dee.txt_13,Sherlock.txt_20,1,undirected
Dee.txt_14,Dee.txt_12,2,undirected
Dee.txt_14,Dee.txt_15,1,undirected
Dee.txt_14,Dee.txt_26,3,undirected
Dee.txt_14,Dee.txt_53,6,undirected
Dee.txt_15,Dee.txt_9,4,undirected
Dee.txt_15,Dee.txt_13,6,undirected
Dee.txt_15,Dee.txt_14,1,undirected
Dee.txt_15,Dee.txt_16,1,undirected
Dee.txt_15,Dee.txt_18,2,undirected
Dee.txt_15,Dee.txt_39,3,undirected
Dee.txt_15,Dee.txt_47,5,undirected
Dee.txt_15,Sherlock.txt_7,1,undirected
Dee.txt_16,Dee.txt_15,1,undirected
Dee.txt_16,Dee.txt_47,3,undirected
Dee.txt_16,Dee.txt_53,3,undirected
Dee.txt_17,Dee.txt_18,2,undirected
Dee.txt_17,Dee.txt_19,2,undirected
Dee.txt_17,Dee.txt_58,6,undirected
Dee.txt_18,Dee.txt_13,1,undirected
Dee.txt_18,Dee.txt_15,2,undirected
Dee.txt_18,Dee.txt_17,2,undirected
Dee.txt_18,Dee.txt_53,5,undirected
Dee.txt_19,Dee.txt_17,2,undirected
Dee.txt_19,Dee.txt_21,6,undirected
Dee.txt_19,Dee.txt_53,2,undirected
Dee.txt_20,Dee.txt_21,2,undirected
Dee.txt_20,Dee.txt_38,1,undirected
Dee.txt_20,Dee.txt_45,5,undirected
Dee.txt_21,Dee.txt_19,6,undirected
