"subject","stimuli","response","isi","counter","response_rt","rating","rating_rt","percentage","sum"
101,"T21","M51","Low",25,464.68,4.24,490.72,0.892857142857143,28
101,"T21","M55","Low",3,620.666666666667,3.66666666666667,377.666666666667,0.107142857142857,28
101,"T241","M51","Low",27,450.148148148148,6.44444444444444,542.592592592593,0.964285714285714,28
101,"T241","M55","Low",1,406,4,1245,0.0357142857142857,28
101,"T315","M214","Low",15,523.666666666667,5.26666666666667,566.333333333333,0.535714285714286,28
101,"T315","M35","Low",13,501.538461538462,5.07692307692308,736.538461538462,0.464285714285714,28
101,"T33","M51","Low",11,596,4.36363636363636,576.363636363636,0.392857142857143,28
101,"T33","M55","Low",17,370,3.88235294117647,405.764705882353,0.607142857142857,28
101,"T45","M35","Low",28,491.321428571429,5.42857142857143,554.464285714286,1,28
102,"T21","M51","High",26,523,4.57692307692308,528.653846153846,0.928571428571429,28
102,"T21","M55","High",2,665,3,1315,0.0714285714285714,28
102,"T241","M51","High",13,437.384615384615,5.23076923076923,458.769230769231,0.464285714285714,28
102,"T241","M55","High",15,620.533333333333,5.06666666666667,763.133333333333,0.535714285714286,28
102,"T315","M214","High",19,582.263157894737,5.84210526315789,1075.94736842105,0.703703703703704,27
102,"T315","M35","High",8,491.125,5.625,363.125,0.296296296296296,27
102,"T33","M55","High",28,507.928571428571,6.64285714285714,506.321428571429,1,28
102,"T45","M35","High",28,511.464285714286,5.46428571428571,703.678571428571,1,28
103,"T21","M51","Low",7,723,4,-517.571428571429,0.25,28
103,"T21","M55","Low",21,858.666666666667,4.04761904761905,-266.47619047619,0.75,28
103,"T241","M35","Low",1,839,3,1348,0.0357142857142857,28
103,"T241","M51","Low",4,1138.75,3.75,-376.5,0.142857142857143,28
103,"T241","M55","Low",23,622.913043478261,4.60869565217391,-409.521739130435,0.821428571428571,28
103,"T315","M214","Low",24,814.75,5.16666666666667,-94.3333333333333,0.857142857142857,28
103,"T315","M35","Low",4,793.25,4.5,-342.75,0.142857142857143,28
