ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	explist	explist.Cycle	explist.Sample	filename[Block]	praclist	praclist.Cycle	praclist.Sample	pracSlide1.ACC	pracSlide1.CRESP	pracSlide1.DurationError	pracSlide1.OnsetDelay	pracSlide1.OnsetTime	pracSlide1.OnsetToOnsetTime	pracSlide1.RESP	pracSlide1.RT	pracSlide1.RTTime	pracSoundOut1.ACC	pracSoundOut1.CRESP	pracSoundOut1.DurationError	pracSoundOut1.OnsetDelay	pracSoundOut1.OnsetTime	pracSoundOut1.RESP	pracSoundOut1.RT	pracSoundOut1.RTTime	Procedure[Block]	Running[Block]	speaker[Block]	syllable[Block]	token[Block]	tone[Block]	Trial	f1List1	f1List1.Cycle	f1List1.Sample	f1List2	f1List2.Cycle	f1List2.Sample	f2List1	f2List1.Cycle	f2List1.Sample	f2List2	f2List2.Cycle	f2List2.Sample	filename[Trial]	Procedure[Trial]	Running[Trial]	Slide1.ACC	Slide1.CRESP	Slide1.DurationError	Slide1.OnsetDelay	Slide1.OnsetTime	Slide1.OnsetToOnsetTime	Slide1.RESP	Slide1.RT	Slide1.RTTime	SoundOut1.ACC	SoundOut1.CRESP	SoundOut1.DurationError	SoundOut1.OnsetDelay	SoundOut1.OnsetTime	SoundOut1.RESP	SoundOut1.RT	SoundOut1.RTTime	speaker[Trial]	syllable[Trial]	token[Trial]	tone[Trial]
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	1				Thai_F4_maa241-5	2	1	1	0		0	-1	146763	0	2	2590	149353	1		369	-1	142763		0	0	pracproc	praclist	F4	maa	5	241																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	2				Thai_F4_maa45-4	15	1	2	0		0	0	155761	0	5	1992	157753	0		0	-1	151761	h	2823	154584	pracproc	praclist	F4	maa	4	45																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	3				Thai_F4_maa45-3	5	1	3	0		0	-1	164758	0	6	2584	167342	0		0	-1	160759	g	3714	164473	pracproc	praclist	F4	maa	3	45																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	4				Thai_F4_mii33-5	9	1	4	0		0	-1	173756	0	7	2443	176199	0		0	-1	169756	f	2269	172025	pracproc	praclist	F4	mii	5	33																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	5				Thai_F4_mii315-6	18	1	5	0		0	-1	182754	0	7	2329	185083	0		0	-1	178754	h	1286	180040	pracproc	praclist	F4	mii	6	315																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	6				Thai_F4_mii45-3	20	1	6	0		0	0	191752	0	7	2480	194232	0		0	-1	187752	g	1549	189301	pracproc	praclist	F4	mii	3	45																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	7				Thai_F4_mii45-2	10	1	7	0		0	-1	200749	0	6	2882	203631	0		0	-1	196750	g	1888	198638	pracproc	praclist	F4	mii	2	45																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	8				Thai_F4_mii21-6	16	1	8	0		0	-1	209747	0	7	1247	210994	0		0	-1	205747	h	1261	207008	pracproc	praclist	F4	mii	6	21																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	9				Thai_F4_mii241-5	17	1	9	0		0	-1	218745	0	7	1158	219903	0		0	-1	214745	j	1230	215975	pracproc	praclist	F4	mii	5	241																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	10				Thai_F4_maa315-6	13	1	10	0		0	0	227743	0	7	2670	230413	0		0	-1	223743	g	2183	225926	pracproc	praclist	F4	maa	6	315																																					
