focus_type,Odur,Vdur,Cdur,Rdur,Sylldur,Wdur,O1Hexc,Fallexc,Nucleusfallexc,H_N2exc,pd,Pd_rime,Falldur,Risedur,Hf0_Ef0,L1_Hexc,O1f0_Ef0,L1f0_Ef0,L2f0_Ef0,Risesp,Fallsp
bro,0.130446743,-0.086613006,0.126277668,-0.00124745,0.058552953,592.333333,7.01386E-05,0.015670851,0.008096581,0.002695798,-0.0269195,0.650214594,0.069460624,0.382752222,0.274208989,0.010317585,0.27413885,0.263891404,0.258538137,0.026956303,0.225607695
bro,-0.18580739,0.113093527,-0.05145298,0.048279876,-0.048628219,609,0.060903765,0.049016361,-0.009809115,0.055618517,0.086059172,0.928205128,-0.06285903,0.396350437,0.018035152,0.030638147,-0.042868613,-0.012602995,-0.030981209,0.077300652,-0.779782342
bro,-0.393865088,-0.26099324,0.045935138,-0.155144836,-0.235154748,435,-0.049195386,0.006096824,-0.006137067,-0.013580658,-0.149801867,0.804878049,0.007424956,-0.032388225,-0.039922321,0.026382375,0.009273065,-0.066304696,-0.046019145,-0.814566855,0.821125907
bro,0.45270058,0.007967716,0.134557813,0.058573982,0.214505637,455,-0.029935144,-0.037730129,-0.012517801,-0.012601857,0.185656011,0.98630137,0.17567365,-0.242391585,0.226232345,2.94336E-05,0.256167489,0.226202912,0.263962475,-0.00012143,-0.214773983
bro,0.021869021,-0.041585107,0.054762489,-0.004990089,0.004928232,511,0.021921893,-0.022595206,0.023823061,0.042413618,-0.307683719,0.659340659,0.09976559,-0.461209487,-0.038542923,0.008222492,-0.060464816,-0.046765415,-0.015947718,-0.017828106,-0.226482956
bro,0.35446187,0.038135037,-0.168712494,-0.04760985,0.130784426,659,-0.060231345,-0.141870573,0.01805085,0.069582456,-0.182169813,0.710843373,0.801472178,-0.278946867,0.058651594,0.034790212,0.118882939,0.023861382,0.200522167,-0.124719852,-0.177012474
bro,0.279650744,-0.005140545,-0.003799271,-0.004630269,0.119371526,505,0.054000685,0.032813705,0.026439928,-0.063744731,0.329251031,1.10625,-0.186972359,0.668215645,-0.159970084,0.023761497,-0.213970769,-0.183731581,-0.19278379,0.035559624,-0.175500301
bro,-0.313550805,0.222065182,-0.114830418,0.106408227,-0.04243585,517,-0.089774948,0.030027869,0.062183287,0.020125216,0.181850718,0.75,0.035032198,-0.055970373,0.613380183,-0.06907121,0.703155131,0.682451393,0.583352314,1.234067339,0.857150581
bro,-0.080573546,0.032421345,0.026194729,0.02999383,0.00061359,633.666667,-0.051364664,-0.008120633,0.003201783,-0.014314683,0.057539001,0.848837211,-0.145403594,0.094655334,-0.030649504,-0.010755287,0.02071516,-0.019894217,-0.022528871,-0.113625788,0.055848916
bro,-0.377970081,-0.144421994,0.06319073,-0.070493719,-0.173304539,545,-0.071343165,0.042004404,0.005167306,-0.013373826,0.05068585,0.90625,0.278677143,0.201045815,0.012278762,-7.78911E-05,0.083621926,0.012356653,-0.029725642,-0.00038743,0.150727839
bro,0.164423151,-0.070094106,0.028964022,-0.027020458,0.044712069,590,0.125781543,0.033329497,0.016575742,0.006186386,0.785019249,2.384615385,-0.122764453,-0.159936,0.484711198,0.017415554,0.358929655,0.467295644,0.451381701,-0.108890767,-0.271491433
bro,-0.489239725,-0.101663575,0.040245875,-0.052971981,-0.207677786,553,-0.202613837,-0.003180563,1.22053E-05,-0.017526221,0.017234003,0.886904762,0.103189446,-0.354932568,0.096555222,-0.053171437,0.299169059,0.149726659,0.099735785,0.149807152,-0.030822564
bro,-0.34937662,0.016857127,0.135193783,0.05097825,-0.062708522,444,-0.033041785,-0.128442341,0.02174244,-0.001843944,-0.051822558,0.616666667,-0.25578382,-0.166922609,-0.197206647,-0.047032007,-0.164164862,-0.15017464,-0.068764306,0.281759359,0.502151939
bro,0.136896634,0.102442965,-0.139577671,0.008709138,0.059929501,533,0.065651147,0.098287282,-0.016905822,-0.001723901,0.141021334,0.826589595,0.0772989,-0.366517223,-0.007939468,-0.007044162,-0.073590615,-0.000895306,-0.10622675,0.019219183,1.271522392
bro,-0.330831608,0.010725772,-0.123165726,-0.044885443,-0.162389224,452,0.01167956,0.083881621,0.060700873,0.111447254,0.107534397,1.282608696,0.001935968,0.211041983,0.174057211,0.079603468,0.162377652,0.094453743,0.090175591,0.377192572,43.32800366
bro,-0.452763639,-0.012293812,0.325196684,0.133750417,-0.087987821,604,-0.059714108,0.009001779,-0.003492147,0.016071351,0.072313227,0.777777778,-0.105501872,0.205965202,0.555582714,-0.004786917,0.615296822,0.560369631,0.546580936,-0.023241387,-0.085323404
bro,0.123492551,0.18476839,0.044993653,0.116680479,0.12051976,575,0.033949805,0.459256785,0.021287699,-0.00928347,0.041876507,0.819587629,-0.299264243,0.095210653,-0.009665214,0.045560254,-0.04361502,-0.055225468,-0.468922,0.478520546,-1.534619642
bro,-0.537531464,0.119320556,-0.178829289,0,-0.223824128,526,0.007967602,0.15884856,-0.008149659,3.56792E-05,0.153538081,1.02173913,0.357115905,-0.175421221,0.418136321,-0.0224034,0.41016872,0.440539722,0.259287761,0.127712029,0.444809538
bro,0.010623489,-0.019942856,0.201595831,0.067446665,0.049321027,658,-0.001700838,0.007363891,-0.023106592,-0.014012678,0.037295604,0.588541667,0.068940059,0.109294039,0.645144933,0.014698418,0.64684577,0.630446515,0.637781042,0.134485083,0.106815844
bro,0.088707666,0.028221689,0.222844933,0.091584997,0.091259656,672,-0.039167238,0.068408679,0.004358195,0.014576797,-0.066094512,0.639344262,0.324187731,0.084327226,-0.069634499,0.025216906,-0.030467261,-0.094851405,-0.138043178,0.299036355,0.211015633
bro,0.130446743,-0.135771729,0.35174228,0.06076856,0.092914553,604,0.055648027,-0.007168264,0.011914103,0.017574908,-0.0079175,0.624242424,0.268869129,0.839078839,-0.24678596,0.018078999,-0.302433987,-0.264864959,-0.239617696,0.021546246,-0.026660793
bro,-0.36969924,-0.01028123,0.109617218,0.037551015,-0.131535347,604,0.043938598,-0.015286152,0.071857267,0.044960001,-0.152717722,0.730569948,0.022373553,0.244685729,0.021448066,-0.002585134,-0.022490532,0.0240332,0.036734218,-0.01056512,-0.68322418
bro,-0.393865088,-0.26099324,0.045935138,-0.155144836,-0.235154748,435,-0.049195386,0.006096824,-0.006137067,-0.013580658,-0.149801867,0.804878049,0.007424956,-0.032388225,-0.039922321,0.026382375,0.009273065,-0.066304696,-0.046019145,-0.814566855,0.821125907
bro,0.350630303,-0.099596456,0.061987307,-0.035627474,0.116190553,485,0.028867074,-0.055190635,0.030137519,0.051743203,-0.16144001,0.759398496,0.150872664,0.432713867,0.151126112,0.019310976,0.122259038,0.131815136,0.206316747,0.044627589,-0.365809374
bro,0.087476084,-0.067396553,-0.057092808,-0.064871163,-0.008986776,578,0.003020518,-0.014010809,-0.000850959,0.012670639,-0.229836031,0.783625731,0.356305677,0.10230465,-0.072498825,-0.015677184,-0.075519343,-0.056821642,-0.058488017,-0.153240189,-0.03932244
