Item no.,Condition,Vowel pair,Tone_contrast,speakerA,syllable,tone,token,filenameA,speakerX,syllable,tone,token,filenameX,block_con,block_no
1,AB,a-a,315-45,F2,maa,315,1,Thai_F2_maa315-1,F2,maa,45,1,Thai_F2_maa45-1,block1a,1
2,BA,a-a,315-45,F2,maa,45,1,Thai_F2_maa45-1,F2,maa,315,1,Thai_F2_maa315-1,block1a,2
3,AA,a-a,315-45,F2,maa,315,1,Thai_F2_maa315-1,F2,maa,315,2,Thai_F2_maa315-2,block1a,3
4,BB,a-a,315-45,F2,maa,45,1,Thai_F2_maa45-1,F2,maa,45,2,Thai_F2_maa45-2,block1a,4
5,AB,a-a,33-241,F2,maa,33,1,Thai_F2_maa33-1,F2,maa,241,1,Thai_F2_maa241-1,block1a,5
6,BA,a-a,33-241,F2,maa,241,1,Thai_F2_maa241-1,F2,maa,33,1,Thai_F2_maa33-1,block1a,6
7,AA,a-a,33-241,F2,maa,33,1,Thai_F2_maa33-1,F2,maa,33,2,Thai_F2_maa33-2,block1a,7
8,BB,a-a,33-241,F2,maa,241,1,Thai_F2_maa241-1,F2,maa,241,2,Thai_F2_maa241-2,block1a,8
9,AB,a-a,33-45,F2,maa,33,1,Thai_F2_maa33-1,F2,maa,45,1,Thai_F2_maa45-1,block1a,9
10,BA,a-a,33-45,F2,maa,45,1,Thai_F2_maa45-1,F2,maa,33,1,Thai_F2_maa33-1,block1a,10
11,AA,a-a,33-45,F2,maa,33,1,Thai_F2_maa33-1,F2,maa,33,2,Thai_F2_maa33-2,block1a,11
12,BB,a-a,33-45,F2,maa,45,1,Thai_F2_maa45-1,F2,maa,45,2,Thai_F2_maa45-2,block1a,12
13,AB,a-a,315-45,F2,maa,315,2,Thai_F2_maa315-2,F2,maa,45,2,Thai_F2_maa45-2,block1a,13
14,BA,a-a,315-45,F2,maa,45,2,Thai_F2_maa45-2,F2,maa,315,2,Thai_F2_maa315-2,block1a,14
15,AA,a-a,315-45,F2,maa,315,2,Thai_F2_maa315-2,F2,maa,315,1,Thai_F2_maa315-1,block1a,15
16,BB,a-a,315-45,F2,maa,45,2,Thai_F2_maa45-2,F2,maa,45,1,Thai_F2_maa45-1,block1a,16
17,AB,a-a,33-241,F2,maa,33,2,Thai_F2_maa33-2,F2,maa,241,2,Thai_F2_maa241-2,block1a,17
18,BA,a-a,33-241,F2,maa,241,2,Thai_F2_maa241-2,F2,maa,33,2,Thai_F2_maa33-2,block1a,18
19,AA,a-a,33-241,F2,maa,33,2,Thai_F2_maa33-2,F2,maa,33,1,Thai_F2_maa33-1,block1a,19
20,BB,a-a,33-241,F2,maa,241,2,Thai_F2_maa241-2,F2,maa,241,1,Thai_F2_maa241-1,block1a,20
21,AB,a-a,33-45,F2,maa,33,2,Thai_F2_maa33-2,F2,maa,45,2,Thai_F2_maa45-2,block1a,21
