"Subject","ISI","cgload","Tone_contrast","n_hit","n_fa","n_miss","n_cr","dis_rt","hit_rate","fa_rate","z_hit","z_fa","dprime","speaker","vowel","language","dprime2"
101,"Low","dsdv","T315-T45",9.5,2.5,7.5,14.5,1009.03125,0.56,0.15,0.150969215496777,-1.03643338949379,1.18740260499057,"Variable","Variable","Mandarin",2.24
101,"Low","dsdv","T33-T241",0.5,0.5,16.5,16.5,722.1875,0.03,0.03,-1.88079360815125,-1.88079360815125,0,"Variable","Variable","Mandarin",0
101,"Low","dsdv","T33-T45",13.5,0.5,3.5,16.5,914.9375,0.79,0.03,0.80642124701824,-1.88079360815125,2.68721485516949,"Variable","Variable","Mandarin",4.21
101,"Low","dssv","T315-T45",11.5,3.5,5.5,12.5,972.161290322581,0.68,0.22,0.467698799114508,-0.772193214188685,1.23989201330319,"Variable","Constant","Mandarin",2.39
101,"Low","dssv","T33-T241",2.5,1.5,14.5,15.5,873.28125,0.15,0.09,-1.03643338949379,-1.34075503369022,0.304321644196427,"Variable","Constant","Mandarin",0.87
101,"Low","dssv","T33-T45",16.5,3.5,0.5,13.5,948.3125,0.97,0.21,1.88079360815125,-0.80642124701824,2.68721485516949,"Variable","Constant","Mandarin",4.43
101,"Low","ssdv","T315-T45",10.5,1.5,6.5,15.5,1136.5,0.62,0.09,0.305480788099397,-1.34075503369022,1.64623582178961,"Constant","Variable","Mandarin",2.83
101,"Low","ssdv","T33-T241",1.5,0.5,15.5,16.5,900.09375,0.09,0.03,-1.34075503369022,-1.88079360815125,0.540038574461034,"Constant","Variable","Mandarin",1.16
101,"Low","ssdv","T33-T45",16.5,0.5,0.5,16.5,984.71875,0.97,0.03,1.88079360815125,-1.88079360815125,3.7615872163025,"Constant","Variable","Mandarin",5.73
101,"Low","sssv","T315-T45",12.5,1.5,3.5,15.5,1163.67741935484,0.78,0.09,0.772193214188685,-1.34075503369022,2.1129482478789,"Constant","Constant","Mandarin",3.49
101,"Low","sssv","T33-T241",0.5,0.5,16.5,16.5,1078.46875,0.03,0.03,-1.88079360815125,-1.88079360815125,0,"Constant","Constant","Mandarin",0
101,"Low","sssv","T33-T45",16.5,0.5,0.5,16.5,1142.78125,0.97,0.03,1.88079360815125,-1.88079360815125,3.7615872163025,"Constant","Constant","Mandarin",5.73
102,"High","dsdv","T315-T45",9.5,1.5,7.5,15.5,590.75,0.56,0.09,0.150969215496777,-1.34075503369022,1.49172424918699,"Variable","Variable","Mandarin",2.61
102,"High","dsdv","T33-T241",6.5,2.5,10.5,14.5,562.5625,0.38,0.15,-0.305480788099397,-1.03643338949379,0.730952601394392,"Variable","Variable","Mandarin",1.58
102,"High","dsdv","T33-T45",15.5,0.5,1.5,16.5,554.3125,0.91,0.03,1.34075503369022,-1.88079360815125,3.22154864184147,"Variable","Variable","Mandarin",4.97
102,"High","dssv","T315-T45",8.5,1.5,8.5,15.5,554.4375,0.5,0.09,0,-1.34075503369022,1.34075503369022,"Variable","Constant","Mandarin",2.4
102,"High","dssv","T33-T241",7.5,4.5,9.5,12.5,471.9375,0.44,0.26,-0.150969215496777,-0.643345405392917,0.49237618989614,"Variable","Constant","Mandarin",1.31
102,"High","dssv","T33-T45",16.5,2.5,0.5,14.5,562.9375,0.97,0.15,1.88079360815125,-1.03643338949379,2.91722699764504,"Variable","Constant","Mandarin",4.7
102,"High","ssdv","T315-T45",9.5,0.5,7.5,16.5,599.9375,0.56,0.03,0.150969215496777,-1.88079360815125,2.03176282364803,"Constant","Variable","Mandarin",3.28
102,"High","ssdv","T33-T241",5.5,1.5,11.5,15.5,601.4375,0.32,0.09,-0.467698799114508,-1.34075503369022,0.873056234575708,"Constant","Variable","Mandarin",1.73
102,"High","ssdv","T33-T45",15.5,2.5,1.5,14.5,617.28125,0.91,0.15,1.34075503369022,-1.03643338949379,2.37718842318401,"Constant","Variable","Mandarin",3.93
102,"High","sssv","T315-T45",13.5,1.5,3.5,15.5,562.5625,0.79,0.09,0.80642124701824,-1.34075503369022,2.14717628070846,"Constant","Constant","Mandarin",3.54
102,"High","sssv","T33-T241",10.5,1.5,6.5,15.5,520.9375,0.62,0.09,0.305480788099397,-1.34075503369022,1.64623582178961,"Constant","Constant","Mandarin",2.83
102,"High","sssv","T33-T45",16.5,1.5,0.5,15.5,541.34375,0.97,0.09,1.88079360815125,-1.34075503369022,3.22154864184147,"Constant","Constant","Mandarin",5.06
103,"Low","dsdv","T315-T45",8.5,3.5,8.5,13.5,659.96875,0.5,0.21,0,-0.80642124701824,0.80642124701824,"Variable","Variable","Mandarin",1.75
103,"Low","dsdv","T33-T241",0.5,1.5,16.5,14.5,578.903225806452,0.03,0.09,-1.88079360815125,-1.34075503369022,-0.540038574461034,"Variable","Variable","Mandarin",1.16
103,"Low","dsdv","T33-T45",14.5,3.5,2.5,13.5,667.5625,0.85,0.21,1.03643338949379,-0.80642124701824,1.84285463651203,"Variable","Variable","Mandarin",3.24
103,"Low","dssv","T315-T45",8.5,4.5,8.5,12.5,687.25,0.5,0.26,0,-0.643345405392917,0.643345405392917,"Variable","Constant","Mandarin",1.55
103,"Low","dssv","T33-T241",5.5,4.5,11.5,12.5,590.65625,0.32,0.26,-0.467698799114508,-0.643345405392917,0.175646606278409,"Variable","Constant","Mandarin",0.72
103,"Low","dssv","T33-T45",16.5,5.5,0.5,11.5,624.28125,0.97,0.32,1.88079360815125,-0.467698799114508,2.34849240726576,"Variable","Constant","Mandarin",4.67
103,"Low","ssdv","T315-T45",8.5,2.5,8.5,14.5,753.15625,0.5,0.15,0,-1.03643338949379,1.03643338949379,"Constant","Variable","Mandarin",2.03
103,"Low","ssdv","T33-T241",1.5,1.5,15.5,14.5,669.41935483871,0.09,0.09,-1.34075503369022,-1.34075503369022,0,"Constant","Variable","Mandarin",0
103,"Low","ssdv","T33-T45",16.5,2.5,0.5,14.5,862.9375,0.97,0.15,1.88079360815125,-1.03643338949379,2.91722699764504,"Constant","Variable","Mandarin",4.7
103,"Low","sssv","T315-T45",8.5,1.5,8.5,15.5,810.3125,0.5,0.09,0,-1.34075503369022,1.34075503369022,"Constant","Constant","Mandarin",2.4
103,"Low","sssv","T33-T241",4.5,1.5,12.5,15.5,544.59375,0.26,0.09,-0.643345405392917,-1.34075503369022,0.6974096282973,"Constant","Constant","Mandarin",1.47
103,"Low","sssv","T33-T45",15.5,2.5,1.5,14.5,764.0625,0.91,0.15,1.34075503369022,-1.03643338949379,2.37718842318401,"Constant","Constant","Mandarin",3.93
104,"High","dsdv","T315-T45",11.5,3.5,5.5,13.5,759.25,0.68,0.21,0.467698799114508,-0.80642124701824,1.27412004613275,"Variable","Variable","Mandarin",2.43
104,"High","dsdv","T33-T241",3.5,1.5,12.5,15.5,571.354838709677,0.22,0.09,-0.772193214188685,-1.34075503369022,0.568561819501532,"Variable","Variable","Mandarin",1.28
104,"High","dsdv","T33-T45",14.5,2.5,2.5,14.5,652.71875,0.85,0.15,1.03643338949379,-1.03643338949379,2.07286677898758,"Variable","Variable","Mandarin",3.5
104,"High","dssv","T315-T45",11.5,7.5,5.5,9.5,651.65625,0.68,0.44,0.467698799114508,-0.150969215496777,0.618668014611286,"Variable","Constant","Mandarin",1.65
104,"High","dssv","T33-T241",5.5,2.5,11.5,14.5,502.8125,0.32,0.15,-0.467698799114508,-1.03643338949379,0.568734590379281,"Variable","Constant","Mandarin",1.34
104,"High","dssv","T33-T45",14.5,1.5,2.5,15.5,599.375,0.85,0.09,1.03643338949379,-1.34075503369022,2.37718842318401,"Variable","Constant","Mandarin",3.86
104,"High","ssdv","T315-T45",11.5,2.5,5.5,14.5,688.90625,0.68,0.15,0.467698799114508,-1.03643338949379,1.5041321886083,"Constant","Variable","Mandarin",2.7
104,"High","ssdv","T33-T241",5.5,1.5,11.5,15.5,488.46875,0.32,0.09,-0.467698799114508,-1.34075503369022,0.873056234575708,"Constant","Variable","Mandarin",1.73
104,"High","ssdv","T33-T45",15.5,1.5,1.5,15.5,504.25,0.91,0.09,1.34075503369022,-1.34075503369022,2.68151006738043,"Constant","Variable","Mandarin",4.29
104,"High","sssv","T315-T45",14.5,0.5,2.5,16.5,752.875,0.85,0.03,1.03643338949379,-1.88079360815125,2.91722699764504,"Constant","Constant","Mandarin",4.53
104,"High","sssv","T33-T241",4.5,1.5,12.5,15.5,696.375,0.26,0.09,-0.643345405392917,-1.34075503369022,0.6974096282973,"Constant","Constant","Mandarin",1.47
104,"High","sssv","T33-T45",16.5,0.5,0.5,16.5,760.5,0.97,0.03,1.88079360815125,-1.88079360815125,3.7615872163025,"Constant","Constant","Mandarin",5.73
105,"High","dsdv","T315-T45",12.5,5.5,4.5,11.5,958.28125,0.74,0.32,0.643345405392917,-0.467698799114508,1.11104420450742,"Variable","Variable","Mandarin",2.3
105,"High","dsdv","T33-T241",9.5,3.5,7.5,13.5,929.40625,0.56,0.21,0.150969215496777,-0.80642124701824,0.957390462515018,"Variable","Variable","Mandarin",1.97
