ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	explist	explist.Cycle	explist.Sample	filename[Block]	insprac1.ACC	insprac1.CRESP	insprac1.DurationError	insprac1.OnsetDelay	insprac1.OnsetTime	insprac1.OnsetToOnsetTime	insprac1.RESP	insprac1.RT	insprac1.RTTime	pracCat.ACC	pracCat.CRESP	pracCat.DurationError	pracCat.OnsetDelay	pracCat.OnsetTime	pracCat.OnsetToOnsetTime	pracCat.RESP	pracCat.RT	pracCat.RTTime	praclist	praclist.Cycle	praclist.Sample	pracRate.ACC	pracRate.CRESP	pracRate.DurationError	pracRate.OnsetDelay	pracRate.OnsetTime	pracRate.OnsetToOnsetTime	pracRate.RESP	pracRate.RT	pracRate.RTTime	Procedure[Block]	Running[Block]	speaker[Block]	syllable[Block]	token[Block]	tone[Block]	waitprac2.ACC	waitprac2.CRESP	waitprac2.DurationError	waitprac2.OnsetDelay	waitprac2.OnsetTime	waitprac2.OnsetToOnsetTime	waitprac2.RESP	waitprac2.RT	waitprac2.RTTime	Trial	block1alist	block1alist.Cycle	block1alist.Sample	block1blist	block1blist.Cycle	block1blist.Sample	block2alist	block2alist.Cycle	block2alist.Sample	block2blist	block2blist.Cycle	block2blist.Sample	block3list	block3list.Cycle	block3list.Sample	block4list	block4list.Cycle	block4list.Sample	block5list	block5list.Cycle	block5list.Sample	block6list	block6list.Cycle	block6list.Sample	block7list	block7list.Cycle	block7list.Sample	expcat.ACC	expcat.CRESP	expcat.DurationError	expcat.OnsetDelay	expcat.OnsetTime	expcat.OnsetToOnsetTime	expcat.RESP	expcat.RT	expcat.RTTime	exprate.ACC	exprate.CRESP	exprate.DurationError	exprate.OnsetDelay	exprate.OnsetTime	exprate.OnsetToOnsetTime	exprate.RESP	exprate.RT	exprate.RTTime	FeedbackDisplay2.ACC	FeedbackDisplay2.CRESP	FeedbackDisplay2.DurationError	FeedbackDisplay2.OnsetDelay	FeedbackDisplay2.OnsetTime	FeedbackDisplay2.OnsetToOnsetTime	FeedbackDisplay2.RESP	FeedbackDisplay2.RT	FeedbackDisplay2.RTTime	filename[Trial]	insex1.ACC	insex1.CRESP	insex1.DurationError	insex1.OnsetDelay	insex1.OnsetTime	insex1.OnsetToOnsetTime	insex1.RESP	insex1.RT	insex1.RTTime	Procedure[Trial]	Running[Trial]	speaker[Trial]	syllable[Trial]	token[Trial]	tone[Trial]
Assim_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">27471118342</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_2000ms-102-1	60.016	1.0.0.78	1	1701492575	Professional	2.0.10.353	2.0.10.353	02-12-2018	12-Feb-18 12:16:56 AM	11:16:56	2.0.10.248	1				Thai_F1_mii21-1	0		0	-1	21648	0	j	955	22603	1		381	137	18649	2999		0	0	6	1	1	1	4	0	12	22615	0	4	2390	25005	pracproc	praclist	F1	mii	1	21	1		0	24	25031	0		0	0																																																																							
Assim_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">27471118342</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_2000ms-102-1	60.016	1.0.0.78	1	1701492575	Professional	2.0.10.353	2.0.10.353	02-12-2018	12-Feb-18 12:16:56 AM	11:16:56	2.0.10.248	2				Thai_F1_mii241-1	0		0	-1	29113	0	f	2191	31304	0		0	83	26114	2999	f	2445	28559	7	1	2	1	4	0	8	31312	0	4	3237	34549	pracproc	praclist	F1	mii	1	241	1		0	9	34561	0		0	0																																																																							
Assim_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">27471118342</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_2000ms-102-1	60.016	1.0.0.78	1	1701492575	Professional	2.0.10.353	2.0.10.353	02-12-2018	12-Feb-18 12:16:56 AM	11:16:56	2.0.10.248	3				Thai_F1_maa33-4	0		0	0	38644	0	f	1563	40207	0		1	83	35644	3000	f	2096	37740	4	1	3	0	4	0	20	40227	0	7	1997	42224	pracproc	praclist	F1	maa	4	33	1		0	18	42243	0		0	0																																																																							
Assim_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">27471118342</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_2000ms-102-1	60.016	1.0.0.78	1	1701492575	Professional	2.0.10.353	2.0.10.353	02-12-2018	12-Feb-18 12:16:56 AM	11:16:56	2.0.10.248	4				Thai_F1_mii45-1	0		0	0	46342	0	g	546	46888	0		0	99	43342	3000	g	2830	46172	10	1	4	1	4	0	19	46908	0	4	3202	50110	pracproc	praclist	F1	mii	1	45	1		0	14	50124	0		0	0																																																																							
Assim_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">27471118342</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_2000ms-102-1	60.016	1.0.0.78	1	1701492575	Professional	2.0.10.353	2.0.10.353	02-12-2018	12-Feb-18 12:16:56 AM	11:16:56	2.0.10.248	5				Thai_F1_maa45-3	0		0	-1	54206	0	g	873	55079	1		0	83	51207	2999		0	0	5	1	5	0	4	0	10	55089	0	5	2653	57742	pracproc	praclist	F1	maa	3	45	1		0	11	57755	0		0	0																																																																							
Assim_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">27471118342</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_2000ms-102-1	60.016	1.0.0.78	1	1701492575	Professional	2.0.10.353	2.0.10.353	02-12-2018	12-Feb-18 12:16:56 AM	11:16:56	2.0.10.248	6				Thai_F1_maa21-1	0		0	-1	61871	0	j	722	62593	1		0	117	58872	2999		0	0	1	1	6	0	4	0	11	62604	0	3	3402	66006	pracproc	praclist	F1	maa	1	21	1		0	13	66020	0		0	0																																																																							
Assim_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">27471118342</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_2000ms-102-1	60.016	1.0.0.78	1	1701492575	Professional	2.0.10.353	2.0.10.353	02-12-2018	12-Feb-18 12:16:56 AM	11:16:56	2.0.10.248	7				Thai_F1_maa315-2	0		0	-1	70102	0	g	627	70729	1		0	83	67103	2999		0	0	3	1	7	0	4	0	6	70735	0	7	2395	73130	pracproc	praclist	F1	maa	2	315	1		0	18	73151	0		0	0																																																																							
Assim_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">27471118342</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_2000ms-102-1	60.016	1.0.0.78	1	1701492575	Professional	2.0.10.353	2.0.10.353	02-12-2018	12-Feb-18 12:16:56 AM	11:16:56	2.0.10.248	8				Thai_F1_mii33-2	0		0	-1	77250	0	f	547	77797	1		0	100	74251	2999		0	0	9	1	8	0	4	0	20	77817	0	7	1473	79290	pracproc	praclist	F1	mii	2	33	1		0	23	79316	0		0	0																																																																							
Assim_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">27471118342</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_2000ms-102-1	60.016	1.0.0.78	1	1701492575	Professional	2.0.10.353	2.0.10.353	02-12-2018	12-Feb-18 12:16:56 AM	11:16:56	2.0.10.248	9				Thai_F1_mii315-2	0		0	-1	83415	0	g	643	84058	1		0	100	80416	2999		0	0	8	1	9	0	4	0	7	84065	0	3	2759	86824	pracproc	praclist	F1	mii	2	315	1		0	23	86848	0		0	0																																																																							
Assim_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">27471118342</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-12T00:16:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_2000ms-102-1	60.016	1.0.0.78	1	1701492575	Professional	2.0.10.353	2.0.10.353	02-12-2018	12-Feb-18 12:16:56 AM	11:16:56	2.0.10.248	10				Thai_F1_maa241-1	0		1	-1	90946	0	f	485	91431	1		0	99	87947	2999		0	0	2	1	10	0	4	0	15	91446	0	6	1538	92984	pracproc	praclist	F1	maa	1	241	1		0	26	93013	0		0	0																																																																							
