ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	explist	explist.Cycle	explist.Sample	fileA	fileX	insprac.ACC	insprac.CRESP	insprac.DurationError	insprac.OnsetDelay	insprac.OnsetTime	insprac.OnsetToOnsetTime	insprac.RESP	insprac.RT	insprac.RTTime	praclist	praclist.Cycle	praclist.Sample	pracX.ACC	pracX.CRESP	pracX.DurationError	pracX.OnsetDelay	pracX.OnsetTime	pracX.RESP	pracX.RT	pracX.RTTime	Procedure[Block]	Running[Block]	speaker[Block]	speakerx[Block]	syllable[Block]	syllablex[Block]	token[Block]	tokenx[Block]	tone[Block]	tonex[Block]	Trial	block1a	block1a.Cycle	block1a.Sample	block1b	block1b.Cycle	block1b.Sample	block2a	block2a.Cycle	block2a.Sample	block2b	block2b.Cycle	block2b.Sample	block3a	block3a.Cycle	block3a.Sample	block3b	block3b.Cycle	block3b.Sample	block4a	block4a.Cycle	block4a.Sample	block4b	block4b.Cycle	block4b.Sample	block5a	block5a.Cycle	block5a.Sample	block5b	block5b.Cycle	block5b.Sample	block6a	block6a.Cycle	block6a.Sample	block6b	block6b.Cycle	block6b.Sample	block7a	block7a.Cycle	block7a.Sample	block7b	block7b.Cycle	block7b.Sample	block8a	block8a.Cycle	block8a.Sample	block8b	block8b.Cycle	block8b.Sample	condition	exX.ACC	exX.CRESP	exX.DurationError	exX.OnsetDelay	exX.OnsetTime	exX.RESP	exX.RT	exX.RTTime	insexp.ACC	insexp.CRESP	insexp.DurationError	insexp.OnsetDelay	insexp.OnsetTime	insexp.OnsetToOnsetTime	insexp.RESP	insexp.RT	insexp.RTTime	item	Procedure[Trial]	Running[Trial]	sounda	soundx	speaker[Trial]	speakerx[Trial]	syllable[Trial]	syllablex[Trial]	talkerpair	token[Trial]	tokenx[Trial]	tone[Trial]	tonepair	tonex[Trial]	vowel
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	1				Thai_F1_mii33-2	Thai_F1_maa45-5	1		0	0	18718	2999		0	0	7	1	1	0	z	0	-1	17718		0	0	pracproc	praclist	F1	F1	mii	maa	2	5	33	45																																																																																			
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	2				Thai_F1_mii315-2	Thai_F1_maa45-5	0		0	0	26799	0	z	1066	27865	6	1	2	0	z	0	-1	25799		0	0	pracproc	praclist	F1	F1	mii	maa	2	5	315	45																																																																																			
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	3				Thai_F1_mii241-1	Thai_F1_maa33-5	0		0	0	32964	0	z	811	33775	5	1	3	0	z	0	-1	31964		0	0	pracproc	praclist	F1	F1	mii	maa	1	5	241	33																																																																																			
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	4				Thai_F1_maa315-2	Thai_F1_maa45-5	0		0	1	38879	0	m	472	39351	2	1	4	0	z	0	-1	37878		0	0	pracproc	praclist	F1	F1	maa	maa	2	5	315	45																																																																																			
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	5				Thai_F1_maa33-4	Thai_F1_maa45-5	0		0	1	44444	0	m	327	44771	3	1	5	0	z	0	-1	43443		0	0	pracproc	praclist	F1	F1	maa	maa	4	5	33	45																																																																																			
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	6				Thai_F1_maa45-3	Thai_F1_mii45-5	0		0	1	49859	0	z	298	50157	4	1	6	0	z	0	-1	48858		0	0	pracproc	praclist	F1	F1	maa	mii	3	5	45	45																																																																																			
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	7				Thai_F1_maa241-1	Thai_F1_maa33-5	0		0	0	55257	0	z	467	55724	1	1	7	0	z	0	-1	54257		0	0	pracproc	praclist	F1	F1	maa	maa	1	5	241	33																																																																																			
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	8				Thai_F1_mii45-1	Thai_F1_mii45-5	0		0	0	60805	0	z	335	61140	8	1	8	0	z	0	-1	59805		0	0	pracproc	praclist	F1	F1	mii	mii	1	5	45	45																																																																																			
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	9	2	1	1																							block2	explist									1							12	1	1																																								BB	0	z	0	-1	77616		0	0	0		1	0	78616	0	z	571	79187	12	exproc	block2a	Thai_F2_maa241-2	Thai_F2_mii241-2	F2	F2	maa	mii	f2f2	2	2	241	21-241	241	ai
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	9	2	1	1																							block2	explist									2							9	1	2																																								AB	0	z	0	-1	83281		0	0	0		0	0	84281	0	m	280	84561	9	exproc	block2a	Thai_F2_maa21-2	Thai_F2_mii241-2	F2	F2	maa	mii	f2f2	2	2	21	21-241	241	ai
