document,ARI,Flesch,FOG,Coleman.Liau.short,Dale.Chall,Spache
01_Celebrated-Cases.txt,8.35,71.94,10.71,8.02,34.89,5.17
02_The-Chinese-Bell-Murders.txt,7.87,71.74,10.39,8.50,33.56,5.24
03_The Chinese Gold Murders.txt,5.50,79.55,8.34,7.13,38.73,4.57
04_The-Chinese-Lake-Murders.txt,5.67,78.07,8.48,7.38,38.22,4.60
05_The-Chinese-Nail-Murders.txt,5.52,79.23,8.22,7.07,39.62,4.51
06_The-Haunted-Monastery.txt,4.93,80.69,7.79,6.74,40.33,4.30
07_The Red Pavilion.txt,5.29,79.25,8.29,6.91,39.78,4.45
08_The-Chinese-Maze-Murders.txt,5.89,77.40,8.67,7.66,37.47,4.67
09_The-Lacquer-Screen.txt,5.13,80.18,8.06,6.92,40.14,4.39
10_The Emperor's Pearl.txt,5.76,78.19,8.61,7.19,38.78,4.59
11_The-Monkey-and-the-Tiger.txt,5.09,81.08,7.95,6.62,41.36,4.32
12_The Phantom of the Temple.txt,5.00,81.10,7.74,6.83,40.23,4.43
13_The Willow Pattern.txt,4.74,81.18,7.71,6.62,40.11,4.38
14_Murder in Canton.txt,5.51,77.98,8.38,7.24,38.52,4.52
15_Judge Dee at Work.txt,5.21,80.54,8.00,6.83,39.52,4.53
16_Necklace-and-Calabash.txt,5.57,78.78,8.15,7.31,40.46,4.40
17_Poets-and-Murder.txt,5.72,76.35,8.59,7.58,38.58,4.57
