"subject","stimuli","response","counter","response_rt","rating","rating_rt","percentage","sum"
101,"21","M214",24,298.541666666667,6.70833333333333,1570.58333333333,1,24
101,"33","M214",1,713,3,1570,0.0416666666666667,24
101,"33","M55",23,497.652173913043,6.08695652173913,1676.13043478261,0.958333333333333,24
101,"45","M35",24,282.416666666667,6.58333333333333,1527.58333333333,1,24
101,"241","M51",3,556.666666666667,4,900.333333333333,0.142857142857143,21
101,"241","M55",18,766.666666666667,4.77777777777778,1562.44444444444,0.857142857142857,21
101,"315","M214",1,2244,3,3047,0.0434782608695652,23
101,"315","M35",22,296.045454545455,6.90909090909091,1350.04545454545,0.956521739130435,23
102,"21","M51",22,1149.27272727273,3.45454545454545,1666.22727272727,0.916666666666667,24
102,"21","M55",2,1891.5,3,1892.5,0.0833333333333333,24
102,"33","M55",24,792.625,3.16666666666667,1652.16666666667,1,24
102,"45","M214",4,1568.75,4,1972,0.173913043478261,23
102,"45","M35",19,750.894736842105,4.68421052631579,1544.68421052632,0.826086956521739,23
102,"241","M51",2,901,3,2889.5,0.0833333333333333,24
102,"241","M55",22,1335.95454545455,2.90909090909091,1834.45454545455,0.916666666666667,24
102,"315","M214",10,1031.8,4.5,1667,0.416666666666667,24
102,"315","M35",14,793.214285714286,4.78571428571429,1858.85714285714,0.583333333333333,24
103,"21","M214",13,1422.76923076923,5.38461538461539,2083,0.619047619047619,21
103,"21","M35",2,2709.5,3,2649,0.0952380952380952,21
103,"21","M51",6,1494.66666666667,4.83333333333333,1995.33333333333,0.285714285714286,21
103,"33","M51",1,1465,3,1876,0.0434782608695652,23
103,"33","M55",22,1922.40909090909,4,2280.22727272727,0.956521739130435,23
103,"45","M35",22,1288.77272727273,5.31818181818182,2185.09090909091,0.956521739130435,23
103,"45","M55",1,1424,NA,0,0.0434782608695652,23
103,"241","M51",19,1405.94736842105,4.84210526315789,2171.84210526316,0.791666666666667,24
103,"241","M55",5,2168.2,3.2,1993.2,0.208333333333333,24
103,"315","M214",7,1315.14285714286,4.71428571428571,1781.85714285714,0.318181818181818,22
103,"315","M35",15,1545.8,5,2353.66666666667,0.681818181818182,22
104,"21","M214",3,767.666666666667,5,1203.33333333333,0.142857142857143,21
104,"21","M51",10,1150.3,4.5,1381.7,0.476190476190476,21
104,"21","M55",8,1488,3.75,1602.625,0.380952380952381,21
104,"33","M55",24,835.416666666667,5.08333333333333,1712.70833333333,1,24
104,"45","M214",1,2617,3,1159,0.0454545454545455,22
104,"45","M35",21,1087.52380952381,4.04761904761905,1604.90476190476,0.954545454545455,22
104,"241","M51",20,977.7,4.85,1836.5,0.833333333333333,24
104,"241","M55",4,1147.5,4.25,1529.25,0.166666666666667,24
104,"315","M214",1,602,4,1724,0.0416666666666667,24
104,"315","M35",23,696.869565217391,4.95652173913043,1727.82608695652,0.958333333333333,24
105,"21","M214",24,695.833333333333,5.125,1424.04166666667,1,24
105,"33","M51",3,1487,3.66666666666667,1599.33333333333,0.125,24
105,"33","M55",21,991.904761904762,3.19047619047619,1492.19047619048,0.875,24
105,"45","M35",24,461.375,4.33333333333333,1359,1,24
105,"241","M51",24,247.875,5.29166666666667,1493.79166666667,1,24
105,"315","M214",1,304,3,1681,0.0416666666666667,24
105,"315","M35",23,389.304347826087,4.8695652173913,1514.73913043478,0.958333333333333,24
106,"21","M214",24,200.666666666667,6.29166666666667,855.5,1,24
106,"33","M214",2,1281.5,4,792,0.0869565217391304,23
106,"33","M55",21,885,3.95238095238095,1152.2380952381,0.91304347826087,23
106,"45","M35",21,362.761904761905,4.66666666666667,858.285714285714,0.875,24
106,"45","M55",3,1167.33333333333,1,1074,0.125,24
106,"241","M51",11,794.454545454545,3.45454545454545,1486.36363636364,0.5,22
106,"241","M55",11,1125.90909090909,3.54545454545455,1050.72727272727,0.5,22
106,"315","M214",5,810.6,5,857.4,0.208333333333333,24
106,"315","M35",19,289.947368421053,5.42105263157895,1085.84210526316,0.791666666666667,24
107,"21","M214",16,829.4375,5.5,1269.5625,0.666666666666667,24
107,"21","M35",1,1283,5,1120,0.0416666666666667,24
107,"21","M51",6,1206.33333333333,5.33333333333333,1163.83333333333,0.25,24
107,"21","M55",1,825,5,2203,0.0416666666666667,24
107,"33","M51",2,1139,4.5,1342.5,0.0833333333333333,24
107,"33","M55",22,519.954545454545,5.45454545454545,1628.77272727273,0.916666666666667,24
107,"45","M214",3,1172.33333333333,6,1410.33333333333,0.125,24
107,"45","M35",21,654.809523809524,5.52380952380952,1406.28571428571,0.875,24
107,"241","M51",21,539.571428571429,5.95238095238095,1139.04761904762,0.875,24
107,"241","M55",3,1257,5.33333333333333,989.333333333333,0.125,24
107,"315","M214",4,529,6.25,1332,0.166666666666667,24
107,"315","M35",20,655.95,6,1487.4,0.833333333333333,24
108,"21","M214",21,793.428571428571,4.35,1725.7619047619,0.875,24
108,"21","M55",3,1388,3.66666666666667,1911.66666666667,0.125,24
