"tone","language","session","id","isi","speaker","vowel_vari","informant","token","syllable","onset","offset","f0mean","excursion","maxloc"
315,"md","101_1",1,"short","ds","sv",101,1,"maa",-0.0647171503923744,0.0718816200461597,-0.0953360324290939,0.224308395119237,1
21,"md","101_1",2,"short","ds","sv",101,1,"maa",0.00322367830422994,-0.185053170519488,-0.0823220259590133,0.188276848823718,0.125
241,"md","101_1",3,"short","ds","sv",101,1,"maa",0.0726365546768409,-0.195322278234777,-0.00739181379779176,0.267958832911617,0.125
45,"md","101_1",4,"short","ds","sv",101,1,"maa",-0.0511058327873569,0.097471691841564,-0.016116486225251,0.17153126713749,1
45,"md","101_1",5,"short","ds","sv",101,1,"maa",-0.0243699634403319,0.0843195413536106,0.0215983403980093,0.181890779137104,0.875
315,"md","101_1",6,"short","ds","sv",101,1,"maa",-0.0763274675919036,0.133985766165983,-0.0440293002938856,0.262867908817124,1
21,"md","101_1",7,"short","ds","sv",101,1,"maa",0.00756940686585781,-0.191783397469655,-0.0763358489974902,0.199352804335513,0.125
241,"md","101_1",8,"short","ds","sv",101,1,"maa",0.0369684881676581,-0.152923463044133,0.00453608349115809,0.213516098751958,0.5
33,"md","101_1",9,"short","ds","sv",101,1,"maa",-0.0156879141368552,-0.101499900512606,-0.041647591459336,0.0858119863757513,0.125
33,"md","101_1",10,"short","ds","sv",101,1,"maa",-0.0234695396552839,-0.172755823495818,-0.0822466673326411,0.149286283840534,0.125
33,"md","101_1",11,"short","ss","sv",101,2,"maa",0.1076349051567,-0.0677990027902545,0.0319666754668363,0.175433907946955,0.125
45,"md","101_1",13,"short","ss","sv",101,2,"maa",-0.039836102262914,0.105738797965498,-0.00353394930693922,0.154509768449443,1
315,"md","101_1",14,"short","ss","sv",101,2,"maa",-0.0434855840438949,0.104568223565678,-0.032470673706404,0.180319536775717,1
315,"md","101_1",15,"short","ss","sv",101,1,"maa",-0.0261165034016448,0.0826613440692994,-0.0243254280505142,0.147110128917427,1
21,"md","101_1",16,"short","ss","sv",101,2,"maa",0.0583949519466394,-0.110916384165946,-0.012946591218326,0.184923523914208,0.25
241,"md","101_1",17,"short","ss","sv",101,2,"maa",0.0226306975811159,-0.082653562524208,0.00121316592382373,0.129958388695312,0.375
