language,subject,stimuli,response,cat,response_rt,rating,percent
md,101,T21,M214,24,298.5416667,6.708333333,1
md,101,T33,M214,1,713,3,0.041666667
md,101,T33,M55,23,497.6521739,6.086956522,0.958333333
md,101,T45,M35,24,282.4166667,6.583333333,1
md,101,T241,M51,3,556.6666667,4,0.142857143
md,101,T241,M55,18,766.6666667,4.777777778,0.857142857
md,101,T315,M214,1,2244,3,0.043478261
md,101,T315,M35,22,296.0454545,6.909090909,0.956521739
md,102,T21,M51,22,1149.272727,3.454545455,0.916666667
md,102,T21,M55,2,1891.5,3,0.083333333
md,102,T33,M55,24,792.625,3.166666667,1
md,102,T45,M214,4,1568.75,4,0.173913043
md,102,T45,M35,19,750.8947368,4.684210526,0.826086957
md,102,T241,M51,2,901,3,0.083333333
md,102,T241,M55,22,1335.954545,2.909090909,0.916666667
md,102,T315,M214,10,1031.8,4.5,0.416666667
md,102,T315,M35,14,793.2142857,4.785714286,0.583333333
md,103,T21,M214,13,1422.769231,5.384615385,0.619047619
md,103,T21,M35,2,2709.5,3,0.095238095
md,103,T21,M51,6,1494.666667,4.833333333,0.285714286
md,103,T33,M51,1,1465,3,0.043478261
md,103,T33,M55,22,1922.409091,4,0.956521739
md,103,T45,M35,22,1288.772727,5.318181818,0.956521739
md,103,T45,M55,1,1424,NA,0.043478261
md,103,T241,M51,19,1405.947368,4.842105263,0.791666667
md,103,T241,M55,5,2168.2,3.2,0.208333333
md,103,T315,M214,7,1315.142857,4.714285714,0.318181818
md,103,T315,M35,15,1545.8,5,0.681818182
md,104,T21,M214,3,767.6666667,5,0.142857143
md,104,T21,M51,10,1150.3,4.5,0.476190476
md,104,T21,M55,8,1488,3.75,0.380952381
md,104,T33,M55,24,835.4166667,5.083333333,1
md,104,T45,M214,1,2617,3,0.045454545
md,104,T45,M35,21,1087.52381,4.047619048,0.954545455
md,104,T241,M51,20,977.7,4.85,0.833333333
md,104,T241,M55,4,1147.5,4.25,0.166666667
md,104,T315,M214,1,602,4,0.041666667
md,104,T315,M35,23,696.8695652,4.956521739,0.958333333
md,105,T21,M214,24,695.8333333,5.125,1
md,105,T33,M51,3,1487,3.666666667,0.125
md,105,T33,M55,21,991.9047619,3.19047619,0.875
md,105,T45,M35,24,461.375,4.333333333,1
md,105,T241,M51,24,247.875,5.291666667,1
md,105,T315,M214,1,304,3,0.041666667
md,105,T315,M35,23,389.3043478,4.869565217,0.958333333
md,106,T21,M214,24,200.6666667,6.291666667,1
md,106,T33,M214,2,1281.5,4,0.086956522
md,106,T33,M55,21,885,3.952380952,0.913043478
md,106,T45,M35,21,362.7619048,4.666666667,0.875
md,106,T45,M55,3,1167.333333,1,0.125
md,106,T241,M51,11,794.4545455,3.454545455,0.5
md,106,T241,M55,11,1125.909091,3.545454545,0.5
md,106,T315,M214,5,810.6,5,0.208333333
md,106,T315,M35,19,289.9473684,5.421052632,0.791666667
md,107,T21,M214,16,829.4375,5.5,0.666666667
md,107,T21,M35,1,1283,5,0.041666667
md,107,T21,M51,6,1206.333333,5.333333333,0.25
md,107,T21,M55,1,825,5,0.041666667
md,107,T33,M51,2,1139,4.5,0.083333333
md,107,T33,M55,22,519.9545455,5.454545455,0.916666667
md,107,T45,M214,3,1172.333333,6,0.125
md,107,T45,M35,21,654.8095238,5.523809524,0.875
md,107,T241,M51,21,539.5714286,5.952380952,0.875
