cn,en
中华人民共和国合同法,Contract Law of the People’s Republic of China
（1999年3月15日第九届全国人民代表大会第二次会议通过）," (Adopted at the Second Session of the Ninth National People’s Congress on March 15, 1999)"
总     则, General Provisions
        第一章     一般规定,Chapter I Common Provisions
        第二章     合同的订立,Chapter II Making of the Contract
        第三章     合同的效力,Chapter III Validity of the Contract
        第四章     合同的履行,Chapter IV Fulfillment of the Contract
        第五章     合同的变更和转让,Chapter V Modification and Transfer of the Contract
        第六章     合同的权利义务终止,Chapter VI Termination of Rights and Obligations under the Contract
        第七章     违约责任,Chapter 7 Liability for Breach of Contracts
        第八章     其他规定,Chapter VIII Miscellaneous Provisions
        分     则, Specific Provisions
        第九章     买卖合同,Chapter IX Purchase and Sale Contracts
        第十章     供用电、水、气、热力合同,"Chapter X Contracts for the Supply and Consumption of Electricity, Water, Gas or Heat"
        第十一章     赠与合同,Chapter XI Donation Contracts
        第十二章     借款合同,Chapter XII Loan Contracts
        第十三章     租赁合同,Chapter XIII Lease Contracts
        第十四章     融资租赁合同,Chapter XIV Contracts for Financial Lease
        第十五章     承揽合同,Chapter XV Work Contracts
        第十六章     建设工程合同,Chapter XVI Construction Project Contracts
        第十七章     运输合同,Chapter XVII Carriage Contracts
        第十八章     技术合同,Chapter XVIII Technology Contracts
        第十九章     保管合同,Chapter XIX Contracts of Deposit
        第二十章     仓储合同,Chapter XX Warehousing Contracts
        第二十一章     委托合同,Chapter XXI Entrustment Contracts
        第二十二章     行纪合同,Chapter XXII Brokerage Contracts
        第二十三章     居间合同,Chapter XXIII Intermediation Contracts
        附     则,Supplementary Provisions
          总     则,GENERAL PRINCIPLES
                  第一章     一般规定,Chapter I Common Provisions s
        第一条     为了保护合同当事人的合法权益，维护社会经济秩序，促进社会主义现代化建设，制定本法。,"Article 1 This Law is formulated with a view to protecting the lawful rights and interests of the parties to contracts, maintaining the social economic order and promoting the progress of the socialist modernization drive. "
