Word,Pinyin,Tag,WF,HD,PF,CF,NC,NS,NWF,AoL,NM,REG,AoA,CON,FAM,IMG
哀,ai1,v,7,9,319,69,3,9,26,7,2,0,4.51,4.19,5.06,5.46
埃,ai1,n,1,9,319,99,4,10,2,12,1,-1,5.25,4.67,4.91,3.81
挨,ai1,v,77,9,319,44,4,10,8,4,3,-1,4.34,4.43,5.58,5.25
癌,ai2,n,15,11,26,19,5,17,2,16,1,0,5.94,5.51,6.43,6.44
矮,ai3,a,20,13,48,34,4,13,7,3,1,-1,3.41,5.3,6.83,6.55
爱,ai4,v,418,33,741,826,4,10,40,1,3,0,3.35,4.15,6.68,5.39
碍,ai4,v,10,33,741,52,4,13,7,7,1,0,5.11,3.92,4.97,4
安,an1,v,21,27,451,1010,2,6,64,2,3,0,3.46,3.23,5.77,4.18
鞍,an1,n,2,27,451,12,3,15,3,13,1,1,5.49,5.38,5.68,4.97
岸,an4,n,109,15,438,116,3,8,8,1,2,-1,3.74,6.06,5.94,6.74
案,an4,n,78,15,438,318,3,10,61,3,4,1,4.39,4.68,6,5.25
暗,an4,a,16,15,438,314,3,13,44,4,3,-1,3.74,5.23,6.8,6.18
昂,ang2,v,3,3,37,51,3,8,8,4,3,1,4.77,4.08,5.81,4.94
凹,ao1,a,3,6,34,12,1,5,5,9,1,0,4.72,5.24,5.48,6.25
熬,ao2,v,36,27,12,21,4,14,4,7,3,1,5.21,4.69,6.19,5.17
袄,ao3,n,8,8,39,7,3,9,1,11,1,-1,4.26,6.49,6.35,5.68
扒,ba1,v,34,23,2033,12,2,5,4,2,4,-1,3.87,5.65,6.52,5.56
疤,ba1,n,3,23,2033,12,2,9,5,13,2,1,4.64,6.47,6.71,6.39
笆,ba1,n,1,23,2033,4,2,10,3,4,1,1,4.92,5.72,5,4.73
拔,ba2,v,30,19,99,84,4,8,13,2,3,0,3.81,5.54,6.13,6.25
靶,ba3,n,1,4,3006,4,2,13,6,15,1,1,5.56,6.39,6,5.94
坝,ba4,n,3,15,698,15,2,7,8,8,3,-1,4.75,6.31,5.39,6.43
爸,ba4,n,73,15,698,179,2,8,3,1,1,1,2.21,6.76,7,6.94
罢,ba4,v,15,15,698,125,3,10,13,8,3,0,5,3.76,5.23,4.04
霸,ba4,n,2,15,698,46,3,21,13,15,3,0,5.23,4.1,5.5,4.45
掰,bai1,v,3,2,7,3,4,12,2,2,1,0,5.03,5.51,5.78,5.91
白,bai2,a,220,1,914,1023,1,5,123,1,4,0,2.64,5.78,6.81,6.47
柏,bai3,n,3,11,1089,61,2,9,4,3,3,-1,4.5,6.53,6.29,5.55
摆,bai3,v,165,11,1089,154,4,13,17,2,4,-1,4.05,5.54,6.48,5.84
败,bai4,v,14,14,184,169,2,8,28,5,4,-1,4.03,4.53,5.65,5.25
拜,bai4,v,13,14,184,132,3,9,16,6,3,0,4.5,4.72,6.39,5.13
扳,ban1,v,8,16,693,13,3,7,4,14,2,-1,4.9,5.1,5.5,4.77
班,ban1,n,169,16,693,249,3,10,22,5,4,0,3.63,5.44,6.5,5.45
颁,ban1,v,2,16,693,27,4,10,3,19,1,-1,5.14,4.65,5.45,4.96
斑,ban1,n,9,16,693,26,3,12,16,6,1,0,4.42,5.38,5.74,5.79
搬,ban1,v,97,16,693,67,4,13,5,2,1,1,4.05,5.49,6.61,5.48
板,ban3,n,18,14,389,221,3,8,78,3,3,-1,3.77,6.31,6.33,6.26
办,ban4,v,522,15,1531,691,2,4,22,1,3,0,3.67,3.73,5.87,3.82
伴,ban4,v,22,15,1531,106,3,7,15,3,2,1,3.56,4.43,6.23,5.76
扮,ban4,v,4,15,1531,58,3,7,8,3,1,-1,4.11,5.13,6.56,5.53
拌,ban4,v,8,15,1531,6,3,8,4,5,1,1,4.36,5.3,6.55,5.71
绊,ban4,v,5,15,1531,9,3,8,4,11,1,1,4.46,5.33,6.55,5.56
瓣,ban4,n,2,15,1531,12,5,19,5,2,2,0,4.46,6.05,6.47,5.44
邦,bang1,n,4,13,378,74,2,6,10,8,1,0,4.83,3.94,5.58,3.54
帮,bang1,v,116,13,378,349,3,9,20,2,3,1,3.68,5,6.9,4.94
绑,bang3,v,17,5,161,30,3,9,7,4,1,1,4.79,5.93,6.48,5.68
榜,bang3,n,11,5,161,24,5,14,7,9,1,-1,4.78,4.82,6.34,5.13
膀,bang3,n,1,5,161,49,5,14,5,2,3,1,4.64,5.58,5.94,5.18
傍,bang4,v,3,17,118,21,5,12,5,2,2,-1,4.82,4.13,4.87,4.81
棒,bang4,a,8,17,118,35,3,12,18,5,2,-1,4.03,4.51,5.53,5.26
谤,bang4,v,1,17,118,4,5,12,1,18,1,-1,6.1,4.15,5.81,4.03
包,bao1,v,71,15,546,402,2,5,62,2,5,0,3.18,5.49,6.41,6.12
褒,bao1,v,2,15,546,4,5,15,1,15,1,1,5.65,3.88,5.16,4.41
雹,bao2,n,6,3,125,2,3,13,3,4,1,1,5.17,6.39,4.77,6.25
宝,bao3,n,23,23,802,322,2,8,30,4,2,0,3.05,5.03,6.69,5.03
饱,bao3,a,34,23,802,46,3,8,15,3,1,1,3.42,5.32,6.68,6.43
保,bao3,v,51,23,802,733,3,9,46,6,3,0,4.11,3.62,5.94,4.32
堡,bao3,n,3,23,802,73,4,12,9,4,3,1,5,5.81,5.81,6.11
报,bao4,n,359,22,1058,1073,3,7,74,1,3,0,3.79,5.38,6.33,4.38
抱,bao4,v,115,22,1058,219,3,8,16,2,3,1,3.25,5.97,6.74,6.52
豹,bao4,n,3,22,1058,27,3,10,4,7,1,-1,4.64,6.79,6.57,6.12
