"2C-
words",NOM,subTF,NOS,AOA,Compositionality,Concreteness,EER,Familiarity,Imageability,SER,sF,sNOM,ST,RT
阿姨,3,392,16,1.333,4.429,6.6,2.786,5.773,6.5,4.2,4.467,1.467,5.533,604.289
爱好,3,376,16,1.462,4.071,4.308,4.563,6.364,3.917,4.176,5.667,1.667,6,552.452
爱护,1,77,17,1.8,4,5.143,3.938,6.136,5.125,4.563,4.8,1.4,5.625,596.766
爱情,1,964,21,2.333,5.111,4.692,5.533,6.818,3.556,4.063,5.071,1.417,6.455,559.389
爱人,2,371,12,2.385,4.083,5.643,5,6.545,4.75,5.625,3.833,1.714,5.846,615.023
安定,2,218,14,2.308,5.833,5.714,4.071,4.591,4.083,4,4,1.5,6,593.463
安静,2,1753,20,2.125,5.357,4,4.714,6.364,5.429,4.412,5.385,1.462,5.333,537.962
安排,2,2247,17,1.875,3.273,4.375,3.235,6,6.333,4.118,5.067,1.467,5.25,550.541
安全,1,3339,12,1.625,3.636,4.733,4.176,6.136,4,5.235,5.533,1.333,5.375,514.493
安慰,2,616,21,2.154,4.083,5.357,4.571,6.182,5.25,4.875,4.667,1.429,5.692,569.111
安稳,1,100,20,3.273,5.643,4.267,4.467,6.318,4.333,3.294,3.75,1.636,5.133,569.981
安详,1,77,14,2.917,4.273,4.286,3.6,6.045,6,3.25,3.643,1.5,5.5,610.321
安心,1,290,10,2.077,4.667,5,4.286,6.095,4.25,4.875,4.833,1.5,5.615,569.545
安置,1,205,19,3.182,4.385,4.818,2.154,6.727,4.4,2.647,3.067,1.692,4.385,610.964
安装,1,271,18,3.273,4.615,4.067,3.5,4.632,5,3.688,3.214,1.533,5.733,595.793
案件,1,784,16,2.357,4.563,4.8,3.857,6.136,3.75,4.471,3.429,1.571,5.188,606.396
暗淡,2,34,24,3.214,4.923,3.214,2.4,4.364,4.8,4.813,3.563,1.333,5.313,656.482
暗示,1,626,18,2.786,4.385,3.429,2.667,6.545,3.333,3.5,3.5,1.667,5.125,547.417
把握,3,439,19,2.857,3.643,4.063,3.6,6.409,4,2.765,3.286,1.688,5.769,642.132
爸爸,1,3747,16,1.308,5.643,6.923,5.875,6.818,5,6.176,6.133,1.083,5.867,528.174
霸权,1,7,27,3.417,4.067,4.714,4.333,4.182,5,3.529,2.688,1.2,5,693.558
霸占,1,57,26,3.333,5,3.8,4.563,4.682,6,3.5,3.25,1.533,5.647,795.459
白菜,1,16,16,1.833,3.308,6.357,3.714,6.286,3.786,4.125,4.214,1.467,6.667,562.193
白天,1,469,9,1.231,4.385,5.286,3.933,6.409,5.385,3.154,4.769,1.467,5.857,612.646
百货,1,48,14,2.6,3.667,5.867,3.375,5.364,3.5,3.813,3.688,1.667,6,660.469
摆动,1,75,19,3.273,4.923,5.2,2.5,5.545,4.692,4.733,2.714,1.563,5.667,571.22
