focus_type,Odur,Vdur,Cdur,Rdur,Sylldur,Wdur,O1Hexc,Fallexc,Nucleusfallexc,H_N2exc,pd,Pd_rime,Falldur,Risedur,Hf0_Ef0,L1_Hexc,O1f0_Ef0,L1f0_Ef0,L2f0_Ef0,Risesp,Fallsp
bro,0.16586825,0.348037594,0.032341628,0.236606142,0.212199433,768,0.247048363,-0.152434047,0.037199579,0.106358714,0.169693567,0.616600791,0.336109042,0.20535565,0.073808861,0.293967294,-0.173239502,-0.220158434,0.226242908,1.431503319,-0.453525577
bro,-0.040622572,0.206542882,-0.361038279,-0.019314235,-0.027248505,607,-0.04195215,0.018876371,-0.088116453,-0.117952659,0.307337191,0.656626506,0.12288945,0.305012529,-0.053915829,-0.035850084,-0.011963678,-0.018065744,-0.0727922,-0.117536432,0.15360449
bro,-0.26407694,0.192338368,-0.153332334,0.064607929,-0.067179065,673,-0.012302669,0.035954981,0.057262966,-0.165593613,-0.142404568,0.521052632,0.05847951,-0.468719686,0.02025706,-0.106299617,0.032559728,0.126556676,-0.015697921,0.226787182,0.614830402
bro,-0.023492343,0.129575771,-0.207862327,0.004159645,-0.005213537,675,0.223288502,-0.018724275,0.008388285,0.012076996,-0.142648796,0.61875,-0.036614685,0.012862642,0.092513796,0.056080629,-0.130774706,0.036433167,0.11123807,4.359962026,0.511387019
bro,0.090936122,-0.183142713,0.387434647,0.077304119,0.081328765,641,0.087688241,0.027247954,0.029706606,-0.707096387,-0.041790249,0.627802691,-0.12325497,0.275075865,0.551150131,-0.004126994,0.46346189,0.555277125,0.523902177,-0.015003113,-0.221069822
bro,-0.386570208,-0.057613733,0.036085833,-0.0083083,-0.166011251,732,0.040754681,-0.106290764,0.02334011,-0.05238164,-1.6802998,-3.474683544,0.196105816,-0.228128324,0.333883896,0.052948436,0.293129215,0.28093546,0.44017466,-0.232099353,-0.542007196
bro,-0.070079735,0.272333946,-0.257752283,0.050610482,0.006985508,654,0.020532323,0.031715451,0.034438427,-0.076972428,-0.122251624,0.572254335,0.277391094,0.041601363,0.677055729,0.023780533,0.656523405,0.653275196,0.645340278,0.571628685,0.114334783
bro,-0.084701446,0.138717327,-0.13746594,0.032024608,-0.010993283,686,0.015344771,-0.037480797,0.011728936,-0.017636759,-0.070647392,0.6,-0.137920178,-0.21946341,0.231333641,-0.000769293,0.21598887,0.232102933,0.268814438,0.003505335,0.271757169
bro,-0.320538768,0.092151194,-0.196138178,-0.003089149,-0.115809716,548,-0.045091719,0.085830226,0.157470014,0.221949873,0.026083312,0.042780749,-0.131079566,-0.291014122,-0.465882109,-0.018306683,-0.42079039,-0.447575426,-0.551712335,0.062906511,-0.654794861
bro,-0.278340603,0.407571474,-0.304360483,0.187064107,0.028588282,603,0.166157873,-0.044838761,0.139069667,0.184895466,0.183737323,0.653465347,-0.400369883,0.264506846,0.047104067,0.093457811,-0.119053806,-0.046353744,0.091942828,0.353328516,0.111993342
bro,-0.057902364,0.421684321,-0.21676718,0.200826424,0.109734998,669,-0.040214868,-0.026152841,-0.011146615,-0.022577782,-0.114662457,0.404444444,0.280380105,0.399355315,-0.034228033,-0.014026143,0.005986835,-0.02020189,-0.008075191,-0.035121963,-0.093276381
bro,-0.226854652,0.313360209,-0.378123388,0.018369659,-0.084021186,476,0.114437444,0.031824907,0.004420009,0.355319646,-0.578958759,-0.00625,0.247289279,-0.512339578,-0.527879581,0.025779415,-0.642317025,-0.553658996,-0.559704488,-0.050317048,0.128695055
bro,-0.248041267,0.298710758,-0.20406463,0.11630035,-0.037075332,760,0.128823446,0.025928182,0.021902385,0.037060848,-0.30995638,0.252525253,0.301675762,-0.197125342,0.014306409,-0.002847394,-0.114517037,0.017153803,-0.011621773,0.014444587,0.085947184
bro,-0.362113714,0.325480141,-0.298096791,0.074089132,-0.101828325,586,0.148491894,-0.009763218,0.000680613,-0.011877539,0.177375611,0.595375723,-0.07469022,0.712049984,-0.028774753,0.001156382,-0.177266647,-0.029931135,-0.019011534,0.001624018,0.130716156
bro,-0.122588472,0.277543964,-0.360170542,0.027303692,-0.031554428,475,-0.006884549,0.087147492,-0.08465199,-0.017138717,-0.107784799,0.737226277,-0.23275835,0.108164107,0.269175107,-0.025247372,0.276059656,0.294422479,0.182027615,-0.233417282,-0.374411884
bro,-0.282199814,0.098500104,-0.136258202,0.009975861,-0.099339057,571,0.483242229,0.041091961,0.075863363,0.152910765,-0.569385109,-0.037735849,0.069416291,-0.409519681,-0.187656037,0.519767243,-0.670898266,-0.70742328,-0.228747998,-1.269211879,0.591964225
bro,-0.059135637,-0.334291046,0.259848249,-0.121936954,-0.099858557,657,0.107051685,0.064242845,-0.027277162,-0.052870629,-0.110669717,0.659217877,0.135613176,-0.005867304,-0.221179398,0.141286033,-0.328231083,-0.362465431,-0.285422243,-24.08022934,0.473721264
bro,-0.060933858,-0.108037815,0,-0.065668399,-0.064405558,550,0.008163556,-0.04777177,-0.014169984,0.012276875,-0.212105949,0.056962025,-0.152236185,-0.089494694,-0.036192107,0.030849657,-0.044355663,-0.067041763,0.011579663,-0.344709337,0.313800361
bro,0.036928965,-0.12870763,0.065713857,-0.057224165,-0.019956961,814,0.156358797,-0.168860916,-0.022736677,0.084610106,0.146655451,0.791666667,-0.520637971,0.487929509,-0.035914447,0.148747263,-0.192273244,-0.18466171,0.132946469,0.304854001,0.324334615
bro,0.123590154,-0.165660162,0.024943479,-0.095671837,-0.021896854,589,0.032401323,-0.170082721,-0.005498293,-0.0611802,-0.347041101,0.520833333,0.365100714,-0.054246792,-0.367930521,-0.12778911,-0.400331843,-0.240141411,-0.197847799,2.355698913,-0.465851517
bro,0.090936122,-0.183142713,0.387434647,0.077304119,0.081328765,641,0.087688241,0.027247954,0.029706606,-0.707096387,-0.041790249,0.627802691,-0.12325497,0.275075865,0.551150131,-0.004126994,0.46346189,0.555277125,0.523902177,-0.015003113,-0.221069822
bro,-0.105428238,-0.122836827,0.352080699,0.128778652,0.031737445,761,0.393736755,-0.105437131,0.104790638,0.078255659,-0.254671477,-0.072222222,0.342095699,-0.089832915,0.74490411,0.21873405,0.351167355,0.52617006,0.850341241,-2.434898729,-0.308209461
bro,-0.122639536,-0.071666828,0.176111288,0.032747959,-0.02349671,626,0.030718055,0.05585378,0.031394428,0.435268414,0.004946597,0.670588235,-0.329108078,0.317288011,-0.146920577,0.002812832,-0.177638632,-0.149733409,-0.202774358,0.008865233,-0.169712578
bro,0.13763985,-0.182260882,0.29849747,0.004244225,0.053500642,708,0.034343582,-0.065006207,0.00124273,-0.001319165,-0.070647392,0.61682243,-0.059981906,0.307248773,0.202413339,0.001074939,0.168069757,0.2013384,0.267419546,0.003498594,1.083763623
bro,-0.280747749,-0.127443141,0.106020637,-0.0507503,-0.133460646,639,-0.11923832,-0.044029873,-0.009731633,-0.09566027,-0.070272747,-0.050561798,0.702314846,-0.157081486,-0.067377249,-0.075011896,0.051861071,0.007634647,-0.023347375,0.477534924,-0.0626925
bro,0.090297788,-0.353780315,0.091458076,-0.217920042,-0.11403191,644,-0.178798499,-0.002658194,-0.074319285,-0.07990177,-0.204315904,0.666666667,0.025210057,-0.130520845,-0.208783007,0.014456713,-0.029984508,-0.223239721,-0.206124813,-0.110761721,-0.105441817
bro,0.164056697,-0.290908804,0.344856877,-0.068703777,0.013716875,687,-0.003640224,-0.010054506,-0.029863697,-0.012755493,0.197032223,0.735632184,-0.030476098,0.367896253,-0.062629069,0.000699163,-0.058988846,-0.063328232,-0.052574564,0.001900435,0.329914473
bro,-0.028356832,-0.149946002,0.055393872,-0.063506535,-0.052139629,490,-0.057226165,0.049679675,0.004452967,0.407016654,-0.492832663,0.156462585,0.049457856,-0.213474825,-0.51469307,-0.010331918,-0.457466905,-0.504361151,-0.564372745,0.048398767,1.004485016
bro,-0.340815144,-0.153705535,0.066352303,-0.074264079,-0.187557563,689,0.149379483,-0.017393319,0.006698743,-0.00789166,0.103318793,0.493902439,0.093529689,0.23577737,-0.036265492,0.020010562,-0.185644975,-0.056276054,-0.018872172,0.084870581,-0.185965754
bro,-0.167129406,-0.247092254,0.122745737,-0.098785509,-0.128228261,574,0.190481784,0.022980617,0.03533839,0.017468143,-0.849045234,-0.006896552,0.172790808,-0.093849393,0.052628504,0.04522062,-0.137853281,0.007407883,0.029647887,-0.481842436,0.132996754
bro,0.132241107,-0.359704993,0.493109026,-0.024821539,0.036876862,477,0.251156717,0.095985657,0.120274115,0.08109726,-0.689263602,-0.023076923,0.605719734,-0.419514994,-0.102393635,0.050778595,-0.353550352,-0.153172229,-0.198379291,-0.121041192,0.15846546
bro,-0.09375162,-0.034366369,-0.047954827,-0.039568945,-0.059291018,690,0.050165745,0.040071438,0.000718553,-0.056106283,-0.206583472,0.535714286,0.108880394,-0.120279738,0.295096456,0.033929937,0.24493071,0.261166519,0.255025018,-0.282091873,0.368031714
bro,0.162490289,0.111215398,0.115532249,0.113953987,0.132526821,613,0.011601234,-0.014447699,0.026462076,0.064311547,-1.066589915,-0.822751323,-0.014673367,0.107758917,-0.020314439,-0.002500214,-0.031915673,-0.017814225,-0.00586674,-0.023201921,0.984620571
bro,0.120541716,0.270430638,0.036507699,0.186440023,0.16218544,817,0.027165752,-0.070262152,0.033909473,0.117135908,0.240174869,0.679245283,-0.363935594,0.464877721,-0.014390993,0.062506043,-0.041556745,-0.076897036,0.055871159,0.134456955,0.19306205
bro,0.405498275,0.09021098,0.10808841,0.097751659,0.203327929,642,0.039231377,0.128670128,0.055055209,0.028933959,0.061743509,0.702857143,0.057537362,0.126948679,0.127256243,0.074616207,0.088024866,0.052640036,-0.001413885,0.587766707,2.236288288
bro,0.08266921,-0.00071262,0.059903685,0.027508216,0.043056405,647.666667,-0.036450692,0.007520279,-0.025655774,0.113601085,1.133925697,1.565047025,0.513056402,0.19993319,-0.080660401,0.005158651,-0.044209709,-0.085819052,-0.08818068,0.025801874,0.014657802
bro,0.395355894,0.255457118,0.141417455,0.197322127,0.280754322,815,-0.330457451,-0.135556116,0.022457672,0.148688204,0.101735603,0.633507853,-0.285442909,-0.504719141,-0.105850004,-0.040475924,0.224607447,-0.06537408,0.029706112,0.080194946,0.474897472
bro,0.266302992,0.292569285,0.176111288,0.247098237,0.254653533,733,-0.033466573,-0.003831656,0.019067107,-0.069592216,-0.028972928,0.533980583,0.213920251,0.138464239,-0.278240431,0.011181964,-0.244773859,-0.289422396,-0.274408775,0.080757057,-0.017911609
