focus_type,Odur,Vdur,Cdur,Rdur,Sylldur,Wdur,O1Hexc,Fallexc,Nucleusfallexc,H_N2exc,pd,Pd_rime,Falldur,Risedur,Hf0_Ef0,L1_Hexc,O1f0_Ef0,L1f0_Ef0,L2f0_Ef0,Risesp,Fallsp
bro,0.008999877,-0.014296416,0.164760392,0.06218705,0.043234939,683,0.024802011,-0.128281928,0.029348604,-0.066964048,-0.034879884,0.814814815,-0.273663332,0.074008238,-0.012575727,-0.010022154,-0.037377738,-0.002553573,0.115706202,-0.135419435,0.468758191
bro,-0.196401831,-0.191969005,0.279685485,-0.009409441,-0.073508185,592,0.045272907,0.096394482,0.000514851,-0.039094156,0.392918186,0.811428571,-0.035840578,0.285026705,0.58607811,-0.013125714,0.540805203,0.599203824,0.489683627,-0.046050823,-2.689534824
bro,0.061873943,0.069046884,-0.080148967,0.015870214,0.030904286,576,0.11761133,0.030767668,0.109069516,0.043433636,0.010291149,0.090909091,0.279155518,-0.290031613,0.109172609,0.447291366,-0.00843872,-0.338118757,0.078404941,-1.542215906,0.110216945
bro,0.205712856,0.042214023,0.04929985,0.045767378,0.107986751,728,-0.008720018,-0.003756672,-0.013064958,-0.046156485,-0.029096193,0.662921348,0.328079241,0.110012267,0.033331908,-0.007917331,0.042051926,0.04124924,0.03708858,-0.071967713,-0.011450502
bro,-0.014344142,-0.167407054,0.056597439,-0.068673055,-0.047691791,707,0.05400194,0.034498491,0.062367528,0.038635084,0.38147155,1.297142857,-0.201537215,0.481808649,-0.150229324,0.062626822,-0.204231265,-0.212856146,-0.184727816,0.129982768,-0.171176779
bro,0.15682376,-0.31379826,0.25392509,-0.065482441,0.022453154,748,-0.08248356,-0.062554451,-0.030293655,-0.089026286,-0.003933252,1.038461538,-0.193646936,0.694212656,0.060667253,-0.014271005,0.143150813,0.074938258,0.123221704,-0.020557108,0.323033517
bro,0.227603648,-0.315311319,0.546216677,-0.040854811,0.053330285,626,0.041737697,0.05208052,-0.055208032,0.051552929,0.076536142,0.92746114,0.183696117,0.339260683,-0.187894196,0.055137946,-0.229631894,-0.243032142,-0.239974716,0.162523831,0.283514538
bro,0.262554908,-0.357977259,0.271924377,-0.127074795,0.038971293,708,-0.041406272,0.044359754,0.013367731,0.015425722,-0.076049045,1.194630872,0.099542212,-0.076731208,-0.176689345,0.031501306,-0.135283073,-0.208190651,-0.221049099,-0.410540992,0.445637617
bro,0.034847276,-0.157302929,0.247640226,0.015994098,0.023261337,583,0.048101212,0.438289797,-0.00342005,0.108161051,0.116818982,0.769230769,0.089192654,0.394327428,-0.046349901,0.041908478,-0.094451113,-0.088258379,-0.484639698,0.106278374,4.913967417
bro,0.20939503,0.051675446,0.021544609,0.041200632,0.101457212,702,-0.010235728,0.010334474,0.000446534,0.01316717,-0.061204526,0.70531401,0.226409599,0.129333166,-0.135251758,0.000406654,-0.12501603,-0.135658412,-0.145586232,0.003144237,0.045645036
