books,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
Dickens_Bleak.txt,360073,21764,52781,41176,24295,14717,9498,9066,34433,16.5444,14.8209,8.7447,1.8919,2.1725,1.6948,0.3574,0.6058,1.1163,0.3909,0.3732,0.2202,1.4173,0.8362
Dickens_David.txt,25104,1536,3765,2903,1717,1108,693,627,2260,16.3438,14.6209,8.6476,1.89,2.1928,1.6907,0.3817,0.6453,1.1178,0.4036,0.3652,0.216,1.3162,0.7785
Dickens_Hard.txt,105259,6839,15767,12036,7421,4201,2833,2384,9925,15.391,14.1839,8.7453,1.7599,2.1246,1.6219,0.349,0.5661,1.0851,0.3818,0.3213,0.1981,1.3374,0.8246
ABronte_Agnes.txt,69162,3595,10193,7393,4287,2904,1955,2038,6214,19.2384,16.133,9.3551,2.0565,2.3777,1.7245,0.3928,0.6774,1.1925,0.456,0.4754,0.2757,1.4495,0.8405
ABronte_Tenant.txt,4391,197,590,428,226,190,115,142,451,22.2893,19.4292,10.2593,2.1726,2.6106,1.8938,0.4439,0.8407,1.1472,0.5088,0.6283,0.3318,1.9956,1.0537
Austen_Emma.txt,162301,10982,25029,19035,11822,6507,4631,3127,14918,14.7788,13.7287,8.5265,1.7333,2.1172,1.6101,0.3418,0.5504,1.0765,0.3917,0.2645,0.1643,1.2619,0.7837
Austen_Pride.txt,122657,7509,18819,14269,8326,5472,3797,2151,11261,16.3347,14.7318,8.596,1.9003,2.2603,1.7138,0.3835,0.6572,1.1088,0.456,0.2583,0.1507,1.3525,0.7892
Austen_Sense.txt,120513,6757,17709,13239,7502,5158,3401,2118,11346,17.8353,16.0641,9.1029,1.9593,2.3606,1.7647,0.3896,0.6875,1.1103,0.4533,0.2823,0.16,1.5124,0.857
CBronte_Jane.txt,188233,13266,29259,23277,16059,6709,5162,4912,16684,14.1891,11.7213,8.0867,1.7546,1.822,1.4495,0.2882,0.4178,1.2105,0.3214,0.3059,0.211,1.0389,0.7168
CBronte_Professor.txt,89271,5633,12697,9873,6531,3113,2296,2319,9000,15.8479,13.6688,9.0419,1.7527,1.9441,1.5117,0.3153,0.4766,1.1594,0.3516,0.3551,0.2349,1.378,0.9116
CBronte_Villette.txt,196303,13366,28563,22416,15426,6454,4848,5424,19045,14.6867,12.7255,8.7573,1.6771,1.8516,1.4531,0.2879,0.4184,1.1541,0.3143,0.3516,0.242,1.2346,0.8496
EBronte_Wuthering.txt,119170,8658,20149,14935,10314,4195,3431,2801,9701,13.7641,11.5542,7.9792,1.725,1.9536,1.448,0.2809,0.4067,1.1913,0.3327,0.2716,0.1875,0.9406,0.6495
Thackeray_Barry.txt,128874,6248,16955,13024,7136,5542,3585,3243,13848,20.6264,18.0597,9.8951,2.0845,2.376,1.8251,0.4255,0.7766,1.1421,0.5024,0.4545,0.249,1.9406,1.0633
Thackeray_Pendennis.txt,140144,6706,18190,14398,7860,5801,3672,4291,15488,20.8983,17.83,9.7336,2.147,2.3142,1.8318,0.4029,0.738,1.1721,0.4672,0.5459,0.298,1.9705,1.0757
Thackeray_Vanity.txt,625,32,66,50,32,19,15,31,64,19.5312,19.5312,12.5,1.5625,2.0625,1.5625,0.38,0.5938,1,0.4688,0.9688,0.62,2,1.28
