地 区,Region,视力残疾人,听力残疾人,言语残疾人,肢体残疾人,智力残疾人,year
全 国,Nationwide,3973416,3446318,591233,19762813,3514710,2023
北 京,Beijing,58248,50562,3361,322446,49168,2023
天 津,Tianjin,29681,28980,4235,249021,30369,2023
河 北,Hebei,153939,143481,30827,1084031,173945,2023
山 西,Shanxi,100327,104880,20173,537261,98345,2023
内蒙古,Inner Mongolia,75559,82921,13439,437264,68300,2023
辽 宁,Liaoning,104636,85402,10546,577035,113700,2023
吉 林,Jilin,83748,75943,12907,435777,77554,2023
黑龙江,Heilongjiang,94405,81292,12362,565460,92972,2023
上 海,Shanghai,92602,87031,5491,294955,54922,2023
江 苏,Jiangsu,196350,122219,8854,900247,224841,2023
浙 江,Zhejiang,134440,239645,16955,651952,141364,2023
安 徽,Anhui,203249,137754,27301,984713,188679,2023
福 建,Fujian,78093,145647,12653,399975,105743,2023
江 西,Jiangxi,131493,109837,18345,641685,129555,2023
山 东,Shandong,194443,226906,26275,1540705,238723,2023
河 南,Henan,266496,236020,61832,1636881,304431,2023
湖 北,Hubei,208780,149942,33908,788904,145273,2023
湖 南,Hunan,241940,155044,38660,982304,185760,2023
广 东,Guangdong,139388,186959,30981,803052,215411,2023
广 西,Guangxi,133910,100103,25133,674186,125412,2023
海 南,Hainan,18026,15674,3729,101526,20489,2023
重 庆,Chongqing,127009,66544,15330,458470,88247,2023
四 川,Sichuan,409359,250579,44123,1552059,204744,2023
贵 州,Guizhou,132765,80525,30530,702576,86516,2023
云 南,Yunnan,181247,132454,32564,799077,101641,2023
西 藏,Xizang,17224,13763,5001,57996,2946,2023
陕 西,Shaanxi,149009,134565,16774,654297,88166,2023
甘 肃,Gansu,92876,96180,11445,445284,75470,2023
青 海,Qinghai,23116,25392,3570,91757,15866,2023
宁 夏,Ningxia,27297,23077,3235,115579,20051,2023
新 疆,Xinjiang,66008,51804,9919,244388,39558,2023
新疆兵团,Xinjiang Production,7753,5193,775,31950,6549,2023
,,,,,,,
全  国,Nationwide,4034659,3329227,597211,19934996,3454412,2022
,,,,,,,2022
北  京,Beijing,58747,47406,3330,319694,49782,2022
天  津,Tianjin,29868,28147,4267,246975,30296,2022
河  北,Hebei,157981,140047,31323,1094850,171900,2022
山  西,Shanxi,104309,102508,20816,567766,97011,2022
内蒙古,Inner Mongol,74576,77277,13394,426345,66939,2022
,,,,,,,2022
辽  宁,Liaoning,107653,86831,10648,581336,114726,2022
吉  林,Jilin,88321,77897,13236,456163,78062,2022
黑龙江,Heilongjiang,100666,84317,12711,595881,93530,2022
,,,,,,,2022
上  海,Shanghai,94507,84552,5490,294066,55806,2022
江  苏,Jiangsu,197864,117606,8880,903198,221512,2022
浙  江,Zhejiang,134288,229605,17045,647893,139059,2022
安  徽,Anhui,205566,134484,27678,989973,185902,2022
福  建,Fujian,79133,134037,12774,399438,101881,2022
江  西,Jiangxi,131235,100009,18364,639655,126570,2022
山  东,Shandong,194182,213439,25604,1534074,234685,2022
,,,,,,,2022
河  南,Henan,270682,232620,64216,1662206,299249,2022
湖  北,Hubei,211943,141978,34899,796888,142543,2022
湖  南,Hunan,244155,148025,38256,985936,181412,2022
广  东,Guangdong,140748,174908,30626,799656,205911,2022
广  西,Guangxi,138185,99066,25124,684757,121197,2022
海  南,Hainan,18256,14707,3518,100806,20099,2022
,,,,,,,2022
重  庆,Chongqing,128981,64807,15257,460686,86569,2022
四  川,Sichuan,412276,242247,44339,1554174,200373,2022
贵  州,Guizhou,138036,81310,30510,728302,83534,2022
云  南,Yunnan,183682,129980,32590,805164,98779,2022
西  藏,Tibet,17368,13715,5074,57117,2982,2022
,,,,,,,2022
陕  西,Shaanxi,152003,130612,17660,662391,87622,2022
甘  肃,Gansu,93547,92541,11593,450490,74807,2022
青  海,Qinghai,23015,24667,3589,91604,15705,2022
宁  夏,Ningxia,28406,23994,3436,119367,20098,2022
新  疆,Xinjiang,66682,50876,10213,246296,39281,2022
,,,,,,,2022
新疆兵团,Xinjiang Production  and Construction Corps,7798,5012,751,31849,6590,2022
,,,,,,,
,,,,,,,
全  国,Nationwide,4148906,3299596,611093,20374666,3427599,2021
,,,,,,,2021
北  京,Beijing,58657,45190,3253,315968,50263,2021
天  津,Tianjin,30328,28051,4359,247262,30465,2021
河  北,Hebei,169578,144879,33285,1160490,173557,2021
山  西,Shanxi,106444,101170,21231,575859,96803,2021
内蒙古,Inner Mongolia,78271,76255,13792,435743,68025,2021
,,,,,,,2021
辽  宁,Liaoning,111904,88904,10931,600692,117181,2021
吉  林,Jilin,92307,79264,13636,477312,79138,2021
黑龙江,Heilongjiang,109359,89513,13457,633412,96206,2021
,,,,,,,2021
上  海,Shanghai,95978,83577,5523,294019,56849,2021
江  苏,Jiangsu,198607,115594,8995,902102,218683,2021
浙  江,Zhejiang,133642,222401,17101,641722,136542,2021
安  徽,Anhui,211820,135773,28845,1014781,185684,2021
福  建,Fujian,81033,125581,12347,396366,98851,2021
江  西,Jiangxi,131081,94475,18379,641733,124440,2021
山  东,Shandong,195861,204955,25605,1543531,232915,2021
,,,,,,,2021
河  南,Henan,276003,234078,66541,1693737,297432,2021
湖  北,Hubei,214373,136510,35842,800430,139864,2021
湖  南,Hunan,247446,143051,38206,1002129,178569,2021
广  东,Guangdong,142127,165632,30022,792485,196089,2021
广  西,Guangxi,154326,107616,25806,731822,118031,2021
海  南,Hainan,18459,14377,3391,100480,19630,2021
,,,,,,,2021
重  庆,Chongqing,133089,63957,15302,471816,85737,2021
四  川,Sichuan,419531,239077,45148,1566824,199204,2021
贵  州,Guizhou,146900,84293,31196,776110,81661,2021
云  南,Yunnan,185638,127439,32577,809151,95540,2021
西  藏,Tibet,17907,13596,5135,56789,3005,2021
,,,,,,,2021
陕  西,Shaanxi,163370,137504,20481,726586,89419,2021
甘  肃,Gansu,95669,91492,11975,463971,75303,2021
青  海,Qinghai,23345,24631,3610,92724,15792,2021
宁  夏,Ningxia,29241,24690,3687,122266,20098,2021
新  疆,Xinjiang,68693,51164,10666,254087,39990,2021
,,,,,,,2021
新疆兵团,Xinjiang Production,7919,4907,769,32267,6633,2021
,,,,,,,
全  国,Nationwide,4189456,3200358,618150,20459869,,2020
,,,,,,,2020
北  京,Beijing,57719,42642,3164,305753,,2020
天  津,Tianjin,30285,27041,4362,241772,,2020
河  北,Hebei,170807,139729,33944,1164781,,2020
山  西,Shanxi,106890,96574,21451,577689,,2020
内蒙古,Inner Mongolia,79334,73853,13865,437310,,2020
,,,,,,,2020
辽  宁,Liaoning,113378,88522,10906,603775,,2020
吉  林,Jilin,93410,78672,13459,481778,,2020
黑龙江,Heilongjiang,114469,90527,13789,656877,,2020
,,,,,,,2020
上  海,Shanghai,96497,80482,5492,288189,,2020
江  苏,Jiangsu,200438,112882,9017,907795,,2020
浙  江,Zhejiang,132371,211753,17132,632274,,2020
安  徽,Anhui,211618,132335,29345,1007878,,2020
福  建,Fujian,87227,118679,12003,402610,,2020
江  西,Jiangxi,129657,89911,18170,634004,,2020
山  东,Shandong,194285,188650,25466,1531962,,2020
,,,,,,,2020
河  南,Henan,276993,231025,68553,1700324,,2020
湖  北,Hubei,214038,130020,36682,796063,,2020
湖  南,Hunan,246920,133763,37175,1010310,,2020
广  东,Guangdong,141812,155351,29587,780443,,2020
广  西,Guangxi,165127,110897,26349,766997,,2020
海  南,Hainan,18442,13853,3298,98836,,2020
,,,,,,,2020
重  庆,Chongqing,135117,63003,15183,474581,,2020
四  川,Sichuan,422573,236283,45069,1564362,,2020
贵  州,Guizhou,151962,84959,31814,797615,,2020
云  南,Yunnan,187962,126033,32312,828016,,2020
西  藏,Tibet,17760,12796,5191,55179,,2020
,,,,,,,2020
陕  西,Shaanxi,164206,135437,23372,732220,,2020
甘  肃,Gansu,96631,88837,12407,472956,,2020
青  海,Qinghai,23815,24820,3710,93738,,2020
宁  夏,Ningxia,29331,24563,3919,122154,,2020
新  疆,Xinjiang,70236,51589,11180,258497,,2020
,,,,,,,2020
新疆兵团,Xinjiang Production,8146,4877,784,33131,,2020
,,,,,,,
,,,,,,,
全  国,Nationwide,4160597,3027950,622907,20210939,3238597,2019
,,,,,,,2019
北  京,Beijing,57566,41017,3087,303555,50947,2019
天  津,Tianjin,29961,25934,4340,236058,30254,2019
河  北,Hebei,173990,135938,35017,1180639,168644,2019
山  西,Shanxi,105026,90672,21461,570495,92995,2019
内蒙古,Inner Mongolia,84964,76091,15539,467257,68710,2019
,,,,,,,2019
辽  宁,Liaoning,113160,87431,11079,596059,116585,2019
吉  林,Jilin,94784,77483,13913,487440,77480,2019
黑龙江,Heilongjiang,117611,90551,14163,670718,96059,2019
,,,,,,,2019
上  海,Shanghai,95407,74659,5301,274915,57915,2019
江  苏,Jiangsu,198766,110728,9060,893898,210781,2019
浙  江,Zhejiang,130993,203429,17368,626017,129735,2019
安  徽,Anhui,207583,124222,30242,979737,176498,2019
福  建,Fujian,98592,119049,12307,417592,93183,2019
江  西,Jiangxi,127230,85335,17999,626123,114695,2019
山  东,Shandong,185114,153733,25158,1443761,214858,2019
,,,,,,,2019
河  南,Henan,274259,221560,71781,1692537,282657,2019
湖  北,Hubei,213631,124291,37081,794946,134015,2019
湖  南,Hunan,232251,115574,34504,953018,153888,2019
广  东,Guangdong,135756,135397,27909,738190,170443,2019
广  西,Guangxi,164357,103375,25726,762869,106248,2019
海  南,Hainan,18222,12142,3224,96531,17450,2019
,,,,,,,2019
重  庆,Chongqing,135520,61089,15013,471698,81126,2019
四  川,Sichuan,423857,232555,44675,1564786,190170,2019
贵  州,Guizhou,149717,80979,29915,781572,72167,2019
云  南,Yunnan,186699,117991,32506,833281,87384,2019
西  藏,Tibet,17682,11594,5294,54196,2990,2019
,,,,,,,2019
陕  西,Shaanxi,162408,130937,24997,723750,85474,2019
甘  肃,Gansu,91599,78769,12622,451678,71133,2019
青  海,Qinghai,24205,25017,3895,95153,15527,2019
宁  夏,Ningxia,29704,24718,4309,124512,19645,2019
新  疆,Xinjiang,71513,50920,12589,263480,42327,2019
,,,,,,,2019
新疆兵团,Xinjiang   Production,8470,4770,833,34478,6614,2019
,,,,,,,
,,,,,,,
全  国,Nationwide,4108353,2883649,623691,19886774,3081281,2018
,,,,,,,2018
北  京,Beijing,56688,38768,2938,296993,50770,2018
天  津,Tianjin,27941,23008,4186,220834,29149,2018
河  北,Hebei,175554,133541,36455,1179952,157692,2018
山  西,Shanxi,102921,85559,21351,565476,90830,2018
内蒙古,Inner Mongolia,86359,75891,16603,478414,67670,2018
,,,,,,,2018
辽  宁,Liaoning,111565,84956,10963,584429,115257,2018
吉  林,Jilin,93814,74674,14230,479511,75283,2018
黑龙江,Heilongjiang,114362,88482,13622,654274,89989,2018
,,,,,,,2018
上  海,Shanghai,95772,68739,5315,268027,59887,2018
江  苏,Jiangsu,194360,108682,9805,876930,205894,2018
浙  江,Zhejiang,128409,190361,17857,610919,124959,2018
安  徽,Anhui,196792,112203,30461,932562,165449,2018
福  建,Fujian,117909,120610,12609,441637,90884,2018
江  西,Jiangxi,121686,79387,17188,607123,104304,2018
山  东,Shandong,179015,141633,25315,1386839,204297,2018
,,,,,,,2018
河  南,Henan,262994,200771,71809,1646951,264817,2018
湖  北,Hubei,206047,109094,37590,769988,127199,2018
湖  南,Hunan,226994,106744,33483,935173,141125,2018
广  东,Guangdong,137152,127992,27510,739091,160885,2018
广  西,Guangxi,167832,104715,24503,763524,93642,2018
海  南,Hainan,17985,9702,3230,95112,16293,2018
,,,,,,,2018
重  庆,Chongqing,135271,58386,14876,468181,78328,2018
四  川,Sichuan,417900,224849,44145,1545219,184099,2018
贵  州,Guizhou,146922,77424,28351,762362,64624,2018
云  南,Yunnan,176350,109106,31823,806499,80243,2018
西  藏,Tibet,17373,10983,5127,52093,2978,2018
,,,,,,,2018
陕  西,Shaanxi,168352,142793,26705,738536,81874,2018
甘  肃,Gansu,85993,68127,12153,433120,65993,2018
青  海,Qinghai,23764,24957,4104,95710,14914,2018
宁  夏,Ningxia,30264,24659,4526,129683,19283,2018
新  疆,Xinjiang,71503,49188,13393,266907,42545,2018
,,,,,,,2018
新疆兵团,Xinjiang Corps,8444,4684,851,34501,6635,2018
黑龙江垦区,Heilongjiang Land,4066,2981,614,20204,3490,2018
